,County,Sex,Xiang,D_KCAL,D_TOTFAT,D_TOTPROT,D_SOLCARB,D_%FATKCAL,D_%PROTKCAL,D_%ANPRKCAL,D_%PLPRKCAL,D_%CARBKCAL,D_RETINOL,D_TOTCAROT,D_VITA,D_VITE,D_VITC,D_THIAMINE,D_RIBOFLAV,D_NIACIN,D_Ca,D_Fe,D_Cu,D_K,D_Mg,D_Mn,D_TOTNa,D_Na,D_SeCARRY,D_Zn,D_PLNTPROT,D_ANIMPROT,D_%PLNTPROT,D_%ANIMPROT,D_RICE,D_WHTFLOUR,D_OTHCEREAL,D_STCHTUBER,D_LEGUME,D_LIGHTVEG,D_GREENVEG,D_SALTVEG,D_FRUIT,D_NUTS,D_MILK,D_EGGS,D_MEAT,D_FISH,D_STCHSUGAR,D_ADDEDSALT,D_TOTNDF,D_ALANINE,D_ARGININE,D_ASPARTATE,D_CYSTINE,D_GLUTAMINE,D_GLYCINE,D_HISTIDINE,D_ISOLEUCIN,D_LEUCINE,D_LYSINE,D_METHIONIN,D_METH+CYS,D_PHENYLALA,D_PROLINE,D_SERINE,D_THREONINE,D_TRYPTOPH,D_TYROSINE,D_VALINE,D_MUFA,D_PUFA,D_SATFA,D_CHOL,D_LYS/ARG,D_%MUFA,D_%PUFA,D_%SATFA,D_P/S,D_M/P,D_TOTn3,D_TOTn6,D_TOTn9,D_%TOTn3,D_%TOTn6,D_%TOTn9,D_6:0,D_8:0,D_10:0,D_11:0,D_12:0,D_13:0,D_14:0,D_14:1,D_15:0,D_15:1,D_16:0,D_16:1,D_16:2,D_17:0,D_17:1,D_18:0,D_18:1,D_18:2,D_18:3,D_19:0,D_20:0,D_20:1,D_20:2,D_20:3,D_20:4,D_20:5,D_22:0,D_22:1,D_22:3,D_22:4,D_22:5,D_22:6,D_%6:0,D_%8:0,D_%10:0,D_%11:0,D_%12:0,D_%13:0,D_%14:0,D_%14:1,D_%15:0,D_%15:1,D_%16:0,D_%16:1,D_%16:2,D_%17:0,D_%17:1,D_%18:0,D_%18:1,D_%18:2,D_%18:3,D_%19:0,D_%20:0,D_%20:1,D_%20:2,D_%20:3,D_%20:4,D_%20:5,D_%22:0,D_%22:1,D_%22:3,D_%22:4,D_%22:5,D_%22:6,M_ALL0-4,M_ALL5-14,M_ALL15-34,M_ALL0-34,M_ALL35-69,M_ALL70-79,M_MEDICALb,M_MEDICALc,M_NONMEDb,M_NONMEDc,M_INFECTb,M_INFECTc,M_PULMTBb,M_PULMTBc,M_OTHERTBb,M_OTHERTBc,M_SCHISTOc,M_ALLCAb,M_ALLCAc,M_NASOPCAc,M_OESOPHCAc,M_STOMCAc,M_COLRECCAc,M_LIVERCAb,M_LIVERCAc,M_BLADDCAc,M_LUNGCAmc,M_LUNGCAfc,M_BREASTCAc,M_CERVIXCAc,M_BRAINCAc,M_LYMPHOMAc,M_LEUKEMIAb,M_LEUKEMIAc,M_ENDOCRINb,M_ENDOCRINc,M_DIABETESc,M_BLOODb,M_BLOODc,M_ALLVASCb,M_ALLVASCc,M_RHEUMHDb,M_RHEUMHDc,M_HYPTENSc,M_IHDc,M_STROKEb,M_STROKEc,M_VASC-STRb,M_VASC-STRc,M_ALLRESPb,M_ALLRESPc,M_PNEUMONb,M_PNEUMONc,M_COPDc,M_DIGESTIVb,M_DIGESTIVc,M_PEPULCERc,M_INTESTOBc,M_RENALc,M_PREGBRTHb,M_PREGBRTHc,M_INFANT,M_MATERNAL,M_ALLCUMa,M_MEDICALa,M_NONMEDa,M_PERINATa,M_NEOTETANa,P_TOTCHOL,P_HDLCHOL,P_NONHDL,P_APOA1,P_APOB,P_ALBUMIN,P_TOTPROT,P_A-CAROT,P_B-CAROT,P_RETINOL,P_RBP,P_A-TOCOPH,P_G-TOCOPH,P_VITC,P_Cu,P_K,P_INORG-P,P_Se,P_Zn,P_Fe,P_FERRITIN,P_TIBC,P_TRANSFE,P_GLUCOSE,P_BUN,P_TESTOSTm,P_HBsAg,P_HPYLORI,P_COTININEf,R_Hb,R_RIBOFDEF,R_SATFA,R_TOTn6,R_TOTn3,R_PUFA,R_P/S,R_16:0,R_18:0,R_18:1n9,R_24:1n9,R_18:3n3,R_20:5n3,R_22:6n3,R_18:2n6,R_20:3n6,R_20:4n6,U_Cl/cre,U_K/cre,U_Na/cre,U_VOLURINE,U_VOLURINEa,U_NSAR,U_NSARa,U_NPRO,U_NPROa,U_NMTCA,U_NMTCAa,U_NTCA,U_NTCAa,U_NO3mn,U_INHIBPRO,Q_dBORNOUT,Q_dNOTWED,Q_aINCOME,Q_dAGE,Q_dHEIGHT,Q_dWEIGHT,Q_dBMI,Q_dSMOKE,Q_dSMOKENOW,Q_dSMOKNOWm,Q_dSMOKNOWf,Q_dSMOKAGEm,Q_dSMOKAGEf,Q_dSMOK<25m,Q_dSMOK<25f,Q_dMFCTCIG,Q_dCIGCONS,Q_dCIGCONSm,Q_dCIGCONSf,Q_dTOBCONS,Q_dTOTTOBAC,Q_dTOBCONSm,Q_dTOBCONSf,Q_dHOMECIG,Q_dPIPE,Q_dH2OPIPE,Q_dCIGAR,Q_dSNUFF,Q_dALCEVER,Q_dBEER,Q_dBEERday,Q_dWINE,Q_dWINEday,Q_dLIQUOR,Q_dLIQRday,Q_dALCOday,Q_dRICE,Q_dWHEAT,Q_dMAIZE,Q_dSORGHUM,Q_dMILLET,Q_dLEGUME,Q_dSWEETPOT,Q_dOILFAT,Q_dSALTVEG,Q_dGRNVEG,Q_dFRUIT,Q_dFISH,Q_dMEAT,Q_dEGGS,Q_dMILK,Q_dAGEMENS,Q_dAGEMENOP,Q_dPREG1st,Q_dTOTPREG,Q_dDEADBRTH,Q_dLIVEBRTH
0,AA,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,44.7,92.0,99.9,63.8,4.2,7.6,0.0,3.4,55.8,4.47,665.0,88.0,0.21,0.113,20.0,2.01,12.2,0.133,0.152,93.0,344.0,195.0,84.1,15.7,765.0,4.0,,109.0,14.4,1.5,37.0,25.7,9.71,35.4,0.96,20.7,16.3,15.1,10.34,1.25,0.83,5.6,9.26,1.88,14.5,,,,,,,,,,,,,,,,7.7,0.0,,51.0,165.0,55.5,20.4,84.6,73.1,73.1,,25.3,,42.3,,84.6,12.4,12.4,,0.0,14.31,0.0,,0.0,0.0,0.0,3.8,0.0,50.0,3.8,57.7,0.0,0.0,46.2,54.7,30.8,662.2,0.0,0.0,0.0,0.0,0.0,0.0,14.7,15.0,336.0,30.6,52.6,124.6,120.9,36.0,,,,,,
1,AA,M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,55.9,99.2,111.2,61.0,4.0,7.6,3.14,4.3,43.4,3.59,585.0,39.0,1.41,0.084,13.5,2.11,11.1,0.116,0.105,107.0,582.0,206.0,79.6,15.7,634.0,45.0,,93.0,13.4,1.45,38.1,22.5,8.43,30.9,0.81,22.0,16.1,12.9,14.66,0.97,0.64,4.86,7.31,2.06,13.1,,,,,,,,,,,,,,,,4.0,0.0,,49.9,161.0,52.3,20.0,72.0,60.0,60.0,,21.1,,40.0,,68.0,9.6,9.6,,0.0,11.12,0.0,,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,36.9,18.4,710.3,25.5,0.8,0.0,0.0,1.9,0.0,11.1,33.0,293.0,19.7,56.2,99.8,113.8,0.0,,,,,,
2,AA,M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,72.03,124.01,143.89,14.87,97.1,80.0,13.95,63.9,92.12,16.63,172.86,0.78,103.03,0.26,0.43,28.07,14.0,5.44,5.34,95.11,156.31,18.09,2.83,105.99,5.42,105.56,,,,4.79,7.04,2.67,4.52,0.67,4.99,3.59,1.34,1.35,9.78,2.51,0.45,13.69,10.68,10.72,0.25,176.91,9.53,73.69,9.95,302.49,6.76,15.19,214.69,4.52,80.78,8.73,2.15,15.59,,,14.44,,18.36,10.61,7.75,4.13,0.0,146.0,50.3,95.6,105.6,62.4,4.1,7.6,1.57,3.9,49.6,4.03,625.0,64.0,0.81,0.099,16.8,2.06,11.7,0.125,0.129,100.0,463.0,201.0,81.8,15.7,700.0,25.0,,101.0,13.9,1.48,37.6,24.1,9.07,33.1,0.89,21.4,16.2,14.0,12.5,1.11,0.73,5.23,8.29,1.97,13.8,10.2,1.99,6.6,,,,,,,,,,,,,5.9,0.0,,50.5,163.0,53.9,20.2,78.3,66.5,66.5,,23.2,,41.1,,76.3,11.0,11.0,,0.0,12.71,0.0,,0.0,0.0,0.0,1.9,0.0,37.0,1.9,28.9,0.0,0.0,35.1,45.8,24.6,686.3,12.8,0.4,0.0,0.0,0.9,0.0,12.9,24.0,315.0,25.2,54.4,112.2,117.4,18.0,,,,,,
3,AA,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,54.6,115.7,136.9,93.9,4.8,8.0,0.4,6.4,41.8,3.59,673.0,84.0,0.96,0.119,20.6,2.51,11.5,0.128,0.111,32.0,565.0,243.0,98.4,17.6,,0.0,,0.0,12.8,1.63,34.5,29.3,10.53,39.9,1.15,22.8,11.8,13.2,9.78,1.08,0.86,6.56,9.98,1.95,17.4,,,,,,,,,,,,,,,,8.3,0.0,,47.0,155.0,50.2,20.7,4.2,0.0,,0.0,,30.0,,0.0,4.2,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,4.7,0.0,0.0,0.0,0.0,0.0,12.9,47.0,327.0,29.1,22.5,87.0,89.5,0.0,17.3,52.0,24.8,3.7,0.6,3.2
4,AA,F,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,47.9,95.3,97.4,74.6,4.1,7.9,0.0,4.9,42.8,2.48,730.0,47.0,1.71,0.108,19.9,2.69,11.5,0.119,0.106,41.0,240.0,181.0,85.4,15.7,,18.0,,0.0,12.7,1.66,41.4,22.5,6.64,29.2,0.7,26.0,15.3,13.3,13.98,0.95,0.43,3.89,7.36,2.05,13.1,,,,,,,,,,,,,,,,11.5,0.0,,47.0,151.0,47.9,21.0,3.8,3.8,,3.8,,30.0,,0.0,3.8,0.1,,0.1,0.0,0.09,,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,3.8,5.8,2.9,548.1,1.7,0.0,0.0,0.0,4.7,0.0,11.5,48.0,293.0,12.7,36.9,55.8,104.8,0.0,17.5,47.0,22.6,3.9,0.8,3.0
5,AA,F,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,42.49,74.48,100.46,7.67,59.48,60.57,7.24,39.89,43.23,11.49,82.56,2.41,44.56,0.0,2.2,13.6,10.34,2.42,1.08,24.63,57.72,15.59,1.24,40.03,1.75,,29.18,10.78,12.67,2.08,1.57,3.5,7.37,1.06,5.13,3.95,0.72,5.88,9.17,1.92,1.61,19.89,8.89,9.01,0.92,135.01,8.25,56.51,5.05,106.15,3.31,9.24,77.83,2.41,49.04,2.7,3.16,12.62,1.0,0.0,12.64,0.31,16.02,9.71,6.3,4.73,0.09,157.0,51.3,105.5,117.2,84.3,4.5,7.95,0.2,5.7,42.3,3.04,702.0,66.0,1.33,0.114,20.3,2.6,11.5,0.123,0.108,37.0,403.0,212.0,91.9,16.7,,9.0,,0.0,12.8,1.65,38.0,25.9,8.58,34.5,0.92,24.4,13.6,13.3,11.88,1.02,0.65,5.22,8.67,2.0,15.3,7.6,2.15,4.8,,,,,,,,,,,,,9.9,0.0,,47.0,153.0,49.1,20.9,4.0,1.9,,1.9,,30.0,,0.0,4.0,0.1,,0.1,0.0,0.04,,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,1.9,2.9,1.4,565.6,3.2,0.0,0.0,0.0,2.4,0.0,12.2,48.0,310.0,20.9,29.7,71.4,97.2,0.0,17.4,49.5,23.7,3.8,0.7,3.1
6,AA,T,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AA,T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AA,T,3,2521.0,48.6,63.9,431.0,17.4,10.1,1.3,8.8,68.4,51.1,550.0,601.0,15.7,87.3,1.9,0.7,18.6,504.0,31.5,2.12,1541.0,317.0,8.7,11.28,5.74,29.6,11.32,55.6,8.3,87.0,13.0,490.0,17.1,0.0,94.3,17.7,120.7,113.5,11.4,0.0,1.8,0.0,12.0,44.9,23.2,0.2,14.1,9.3,3.16,4.19,5.37,1.16,10.5,2.61,1.31,2.75,4.56,2.71,1.12,2.28,3.03,2.69,2.69,2.13,1.01,2.48,3.22,13.78,10.42,10.64,131.6,0.65,39.6,29.9,30.5,0.98,1.32,1.0,9.29,13.25,2.9,26.7,38.0,0.36,0.4,11.3,1.91,65.6,0.36,0.33,4.3,8.4,2.34,7.52,0.52,83.9,17.8,9.7,2.55,13.17,9.23,0.95,25.54,73.5,43.9,22.6,0.41,52.6,24.1,39.0,37.0,0.5,6.39,6.66,34.9,0.001,0.001,0.032,0.005,0.188,0.001,0.955,0.012,0.024,0.007,21.59,1.48,0.241,0.051,0.028,7.33,37.8,26.48,2.71,0.073,0.211,0.126,0.065,0.0012,0.151,0.069,0.112,0.106,0.001,0.018,0.019,0.1,3.44,57.26,99.25,122.17,11.27,78.29,70.28,10.6,51.9,67.67,14.06,127.71,1.6,73.8,0.13,1.32,20.84,12.17,3.93,3.21,59.87,107.02,16.84,2.04,73.01,3.58,,,,,3.44,4.3,3.08,5.95,0.87,5.06,3.77,1.03,3.62,9.47,2.21,1.03,16.79,9.79,9.87,0.59,155.96,8.89,65.1,7.5,204.32,5.04,12.21,146.26,3.46,64.91,5.72,2.66,14.11,,,13.54,,17.19,10.16,7.03,4.43,0.04,151.0,50.8,100.6,111.4,73.3,4.3,7.78,0.89,4.8,46.0,3.53,663.0,65.0,1.07,0.106,18.5,2.33,11.6,0.124,0.119,68.0,433.0,206.0,86.9,16.2,,17.0,,51.0,13.3,1.56,37.8,25.0,8.83,33.9,0.91,22.9,14.9,13.6,12.19,1.06,0.69,5.23,8.48,1.99,14.5,8.9,2.07,5.7,,,,,,,,,,,,,7.9,0.0,848.1,48.7,158.0,51.5,20.5,41.1,34.2,,,,,,,40.1,5.5,,,0.0,6.38,,,0.0,0.0,0.0,0.9,0.0,19.4,0.9,14.4,0.0,0.0,18.5,24.4,13.0,625.9,8.0,0.2,0.0,0.0,1.7,0.0,12.6,36.0,312.0,23.0,42.1,91.8,107.3,9.0,,,,,,
9,AB,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,40.2,103.0,100.8,77.3,4.3,7.4,0.0,6.2,45.7,3.03,673.0,0.0,0.32,0.106,17.5,2.2,9.6,0.106,0.073,70.0,359.0,,80.2,12.9,523.0,0.0,63.2,118.0,14.1,1.58,39.6,29.7,6.16,35.8,0.91,28.9,10.6,14.0,6.36,0.51,0.58,2.61,11.14,2.19,16.4,,,,,,,,,,,,,,,,11.5,0.0,,48.1,163.0,53.1,20.1,88.5,88.5,88.5,,22.3,,65.4,,88.5,13.8,13.8,,0.0,15.95,0.0,,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,15.4,8.8,4.4,682.8,0.0,0.0,0.0,0.0,0.0,0.0,6.6,79.0,278.0,33.6,33.7,64.6,132.0,0.0,,,,,,
