,County,Sex,Xiang,ALL0-4,ALL5-14,ALL15-34,ALL0-34,ALL35-69,ALL70-79,MEDICALb,MEDICALc,NONMEDb,NONMEDc,INFECTb,INFECTc,INTESTINb,INTESTINc,PULMTBb,PULMTBc,OTHERTBb,OTHERTBc,VIRALHEPb,VIRALHEPc,SCHISTOc,ALLCAb,ALLCAc,MOUTHCAc,NASOPCAc,NPConlyc,OESOPHCAc,STOMCAc,COLRECCAc,LIVERCAb,LIVERCAc,PANCRSCAc,BLADDCAc,LARYNXCAc,LUNGCAmc,LUNGCAfc,BREASTCAc,CERVIXCAc,LYMPHOMAc,LEUKEMIAb,LEUKEMIAc,ENDOCRINb,ENDOCRINc,DIABETESc,MALNUTRIb,MALNUTRIc,BLOODb,BLOODc,MENTALb,MENTALc,NERVOUSb,NERVOUSc,MENINGITb,MENINGITc,EPILEPSYb,EPILEPSYc,ALLVASCb,ALLVASCc,RHEUMHDb,RHEUMHDc,HYPTENSc,IHDc,STROKEb,STROKEc,VASC-STRb,VASC-STRc,ALLRESPb,ALLRESPc,PNEUMONb,PNEUMONc,COPDc,DIGESTIVb,DIGESTIVc,PEPULCERc,ENTCOLc,INTESTOBc,CIRRHOSb,CIRRHOSc,TOTLIVRb,TOTLIVRc,GALLBILc,GENITURc,GENITURmc,GENITURfc,RENALc,PREGBRTHb,PREGBRTHc,ALLSKINc,MUSCSKELc,ILL-DEFb,ILL-DEFc,ACCIDENTb,ACCIDENTc,ROADACCb,ROADACCc,DROWNb,DROWNc,SUICIDEb,SUICIDEc,HOMICIDEb,HOMICIDEc,INFANT,MATERNAL,ALLCUMa,MEDICALa,NONMEDa,RESPINFa,ALLGIa,CONGENITa,NTDa,CONGENHDa,PERINATa,LOWBTHWTa,BTHTRAUMa,RDSa,NEOTETANa,MALNUTRIa,DROWNa,TOTCHOL,HDLCHOL,NONHDL,APOA1,APOB,ALBUMIN,TOTPROT,A-CAROT,B-CAROT,G-CAROT,Z-CAROT,RETINOL,RBP,A-TOCOPH,G-TOCOPH,LYCOPENE,LUTEIN,ANHYDLUT,A-CRYPT,B-CRYPT,NEURSPOR,PHYTOFLU,PHYTOENE,FOLATE,VITC,CERULO,Cu,K,INORG-P,Se,Zn,Fe,TIBC,GLUCOSE,BUN,PEPSIN,THYROXINE,B2-MGLOB,TESTOSTm,HBsAg,HPYLORI,COTININEm,COTININEf,COTIN>20m,COTIN>20f,RIBOFDEF,SATFA,MUFA,TOTn6,TOTn3,PUFA,P/S,14:0,16:0,18:0,20:0,22:0,24:0,16:1n7,18:1n9,20:1n9,22:1n9,24:1n9,18:3n3,20:5n3,22:6n3,18:2n6,20:2n6,20:3n6,20:4n6,Cl/cre,K/cre,Na/cre,Ca/cre,P/cre,UREA/cre,URIC/cre,CREAT,TAUR/cre,AFM1/cre,COT/cre,VOLURINE,VOLURINEa,NSAR,NSARa,NPRO,NPROa,NMTCA,NMTCAa,NTCA,NTCAa,NO3mn,INHIBPRO,SUMNIT,SUMNITa,NSARmn,NPROmn,NMTCAmn,NTCAmn,dBORNOUT,dNOTWED,cHHSIZE,c%FHEAD,c%AGRICUL,dBUDDHIST,dCHRIST,dMUSLIM,dCANREAD,c%NOTREAD,dEDUCATED,c%NOSCHL,c%1stSCHL,c%2ndSCHL,dREADNEWS,dWATCHTV,bRADIO/HH,c%OWNTV,c%FRIDGE,c%KITCHEN,c%H2OPIPE,c%FLUSHWC,c%TOILET,dGASKID,dCLBRKID,dNSCLKID,dSMCLKID,dCOALKID,dWOODKID,dOTHFKID,dGASNOW,dCLBRNOW,dNSCLNOW,dSMCLNOW,dCOALNOW,dWOODNOW,dOTHFNOW,dCOOKm,dCOOKf,dUNVENT,dAGE,dHEIGHT,dWEIGHT,dBMI,dPEPULCER,dHEPATIT,dSCHISTO,dMALARIA,dARTHRIT,dTHYROID,dBRTHFAST,dBRTHLEV,dBRTHOWN,dPHLEGMw,dPHLEGMs,dPHLEGM,dPHLEGMyr,dWHEEZE,dWHZBRTH,dSBP,dDBP,dMIDBP,dFEV1adj,dFVCadj,dMMEFadj,dFEV1,dFVC,dMMEF,dDIARRH,dBRONCH,dCHINAMED,dWESTMED,dANTIBIOT,dANTACID,dANALGES,dSMOKE,dSMOKENOW,dSMOKNOWm,dSMOKNOWf,dSMOKAGEm,dSMOKAGEf,dSMOK<25m,dSMOK<25f,dMFCTCIG,dCIGCONS,dCIGCONSm,dCIGCONSf,dTOBCONS,dTOTTOBAC,dTOBCONSm,dTOBCONSf,dHOMECIG,dPIPE,dCIGAR,dSALTFISH,dSALTFKID,dLEGUMyr,dSALTVEG,dGRNVEG,dFRUIT,dFISH,dMEAT,dEGGS,dMILK,dJASMIN-T,dGREEN-T,dGREENTEA,dBLACK-T,dOOLONG-T,dBLACKTEA,dAGEMENS,dMENCYCLE,dBLEED,dAGEMENOP,dPREG1st,dTOTPREG,dDEADBRTH,dLIVEBRTH
0,ZA,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,44.6,148.4,121.5,79.5,4.5,8.23,2.7,11.5,3.6,4.5,40.6,5.29,415.0,129.0,4.8,23.4,3.6,2.7,8.3,0.0,2.6,3.7,8.8,0.54,34.05,0.096,15.6,2.87,13.6,0.129,0.279,470.0,65.3,15.7,4.0,7.2,2.12,6.57,3.0,82.8,142.0,,53.8,,1.0,48.9,15.6,31.2,4.36,35.6,0.73,0.19,18.7,17.7,0.24,0.94,11.19,0.17,12.0,0.33,0.0,3.1,0.23,1.0,3.13,12.6,0.46,1.6,16.5,3.7,0.82,2.5,0.1,0.44,7.4,0.25,531.0,0.13,5.68,1.24,687.0,753.0,0.04,0.05,4.16,1.0,0.23,0.2,6.12,19.92,0.1,3.16,10.55,21.16,0.04,2.58,0.21,13.02,65.6,6.3,,,,57.6,0.0,0.0,97.0,,43.8,,,,93.9,100.0,,,,,,,,9.1,21.2,0.0,21.2,42.4,54.5,12.1,93.9,0.0,0.0,0.0,0.0,0.0,12.1,1.3,,,49.0,167.0,67.9,24.3,12.1,6.1,0.0,6.1,6.1,3.0,36.4,9.1,3.0,36.4,24.2,9.1,5.0,12.1,6.1,120.0,79.8,100.1,2.77,3.49,2.71,2.86,3.61,2.84,2.6,0.3,6.1,36.4,3.0,18.2,0.0,66.7,57.6,57.6,,22.9,,42.4,,66.7,12.7,12.7,,0.0,14.69,0.0,,0.0,0.0,0.0,45.5,21.2,62.2,25.0,270.0,172.9,226.6,140.0,89.7,142.6,21.2,24.2,30.3,24.2,63.6,78.8,,,,,,,,
1,ZA,M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,50.8,140.2,127.2,88.2,4.4,8.6,2.83,15.0,4.2,6.9,39.9,4.69,509.0,162.0,7.2,22.3,3.4,2.3,14.6,2.1,4.9,4.7,9.2,0.63,27.0,0.114,15.0,3.73,15.5,0.114,0.265,461.0,101.3,17.7,3.9,7.4,2.01,6.7,10.0,73.3,126.0,,45.8,,1.3,47.9,16.7,28.5,6.86,35.4,0.74,0.23,18.1,16.1,0.35,1.9,11.23,0.2,10.8,0.24,0.22,5.2,0.13,1.28,5.45,10.81,0.36,1.47,15.9,3.7,1.04,3.0,0.12,0.62,7.8,0.51,394.0,0.13,0.0,1.67,707.0,665.0,0.08,0.21,2.78,1.36,1.08,4.06,13.09,8.77,0.1,1.42,17.04,14.4,0.15,2.07,2.57,10.93,62.5,0.0,,,,22.6,0.0,0.0,96.8,,36.4,,,,83.9,93.5,,,,,,,,3.2,19.4,0.0,0.0,19.4,90.3,9.7,96.8,0.0,0.0,0.0,0.0,3.2,0.0,1.8,,,50.1,168.0,63.0,22.3,22.6,6.5,0.0,0.0,0.0,0.0,22.6,12.9,3.2,16.1,12.9,9.7,16.7,0.0,0.0,118.0,71.7,94.8,2.6,3.06,2.71,2.68,3.13,2.77,5.0,0.2,12.9,29.0,0.0,16.1,0.0,67.7,51.6,51.6,,22.7,,35.5,,67.7,14.0,14.0,,0.0,16.2,0.0,,0.0,0.0,0.0,25.8,16.1,75.5,52.0,308.0,311.4,285.0,107.7,83.1,198.9,12.9,19.4,19.4,45.2,64.5,80.6,,,,,,,,
2,ZA,M,3,1.47,32.93,126.73,102.77,9.7,50.75,45.37,8.66,57.4,104.47,1.98,34.93,0.62,0.75,0.28,21.89,0.09,0.85,0.03,0.54,0.0,10.1,2.84,5.93,17.27,13.13,11.72,33.54,21.18,2.72,75.25,9.46,4.05,2.69,58.32,,,,7.2,2.15,6.56,0.48,34.65,32.47,0.11,0.47,0.4,1.98,0.28,3.33,3.19,6.06,0.4,1.46,0.59,0.75,5.57,2.9,0.14,2.68,29.74,58.54,2.06,149.0,3.51,141.21,3.09,51.08,2.48,17.53,26.83,3.66,85.16,6.69,0.1,1.13,2.98,62.11,5.71,137.37,2.36,23.18,23.18,,21.43,,,1.57,1.79,4.29,32.51,49.8,86.07,24.16,45.11,8.67,7.19,4.39,14.05,3.06,3.89,5.4,,7.33,5.57,1.76,0.5,0.21,2.05,0.18,1.33,1.01,0.43,0.06,0.12,0.0,0.01,0.24,192.0,47.7,144.3,124.4,83.9,4.5,8.42,2.77,13.3,3.9,5.7,40.3,4.99,462.0,146.0,6.0,22.9,3.5,2.5,11.45,1.05,3.75,4.2,9.0,0.59,30.52,0.105,15.3,3.3,14.6,0.122,0.272,466.0,83.3,16.7,4.0,7.3,2.06,6.64,7.0,78.0,134.0,,49.8,,1.15,48.4,16.1,29.9,5.61,35.5,0.73,0.21,18.4,16.9,0.29,1.42,11.21,0.19,11.4,0.29,0.11,4.15,0.18,1.14,4.29,11.71,0.41,1.54,16.2,3.7,0.93,2.8,0.11,0.53,7.6,0.38,463.0,0.13,2.84,1.46,697.0,709.0,0.06,0.13,3.47,1.18,0.66,2.13,9.61,14.35,0.1,2.29,13.79,17.78,0.1,2.33,1.39,11.97,64.0,3.1,,,,40.1,0.0,0.0,96.9,,40.1,,,,88.9,96.8,,,,,,,,6.2,20.3,0.0,10.6,30.9,72.4,10.9,95.4,0.0,0.0,0.0,0.0,1.6,6.0,1.6,,,49.6,168.0,65.5,23.3,17.4,6.3,0.0,3.0,3.0,1.5,29.5,11.0,3.1,26.3,18.6,9.4,10.8,6.0,3.0,119.0,75.8,97.5,2.69,3.28,2.71,2.77,3.37,2.81,3.8,0.3,9.5,32.7,1.5,17.2,0.0,67.2,54.6,54.6,,22.8,,39.0,,67.2,13.3,13.3,,0.0,15.45,0.0,,0.0,0.0,0.0,35.6,18.7,68.9,39.0,289.0,242.2,255.8,123.9,86.4,170.8,17.1,21.8,24.9,34.7,64.0,79.7,,,,,,,,
3,ZA,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,46.7,162.3,135.0,87.0,4.3,8.73,6.58,32.7,9.6,8.9,62.1,3.82,960.0,351.0,5.9,53.8,5.3,4.4,20.0,3.2,7.9,5.2,12.8,0.6,30.61,0.117,16.6,3.37,12.9,0.124,0.296,575.0,69.7,15.0,3.7,7.3,1.76,,17.0,82.1,,17.0,,7.4,1.07,47.1,16.0,30.7,6.22,36.9,0.78,0.13,16.5,16.7,0.3,1.52,11.92,0.13,10.9,0.36,0.0,4.54,0.2,1.04,4.98,11.76,0.48,1.5,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,3.2,,,,71.0,3.2,0.0,83.9,,19.4,,,,77.4,93.5,,,,,,,,6.5,35.5,6.5,16.1,58.1,54.8,6.5,100.0,0.0,0.0,0.0,0.0,0.0,12.9,,1.8,,48.3,153.0,56.3,24.1,6.5,0.0,0.0,3.2,9.7,9.7,19.4,3.2,3.2,3.2,3.2,3.2,4.0,6.5,0.0,118.0,74.2,95.9,2.02,2.46,2.35,2.0,2.41,2.37,2.8,0.0,9.7,45.2,12.9,6.5,9.7,3.2,0.0,,0.0,,50.0,,0.0,3.2,0.2,,0.2,0.0,0.19,,0.0,0.0,0.0,0.0,32.3,6.5,62.2,44.0,288.0,309.0,230.6,124.0,64.3,159.5,6.5,29.0,35.5,32.3,45.2,54.8,15.1,28.5,5.4,52.0,22.7,5.1,2.3,3.9
4,ZA,F,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,55.3,142.7,144.8,75.4,4.5,8.23,4.67,23.6,5.7,7.1,53.0,4.05,589.0,97.0,5.1,44.6,4.2,2.8,5.8,3.3,3.6,3.8,13.2,0.86,29.66,0.113,14.9,3.67,14.4,0.119,0.237,442.0,100.7,17.7,3.5,7.6,1.42,,17.0,75.9,,3.0,,0.0,1.2,50.2,15.1,28.4,6.33,34.7,0.69,0.18,20.6,16.4,0.35,1.38,11.31,0.17,10.8,0.22,0.0,3.9,0.89,1.39,4.04,10.93,0.38,1.43,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8,0.0,,,,51.7,6.9,0.0,65.5,,16.7,,,,69.0,93.1,,,,,,,,3.4,3.4,0.0,3.4,6.9,86.2,6.9,100.0,0.0,0.0,0.0,0.0,0.0,6.9,,1.5,,49.9,157.0,56.8,23.0,3.4,0.0,0.0,0.0,3.4,0.0,31.0,10.3,3.4,3.4,3.4,0.0,,0.0,0.0,119.0,74.1,96.6,1.86,2.24,2.02,1.96,2.34,2.11,2.1,0.0,10.3,24.1,0.0,3.4,3.4,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,31.0,3.4,70.0,34.0,339.0,334.4,307.7,104.3,76.5,166.2,24.1,17.2,27.6,34.5,48.3,72.4,15.4,28.1,4.6,50.0,22.0,3.8,2.3,3.2
5,ZA,F,3,1.28,20.17,56.51,56.34,6.23,42.35,35.02,5.78,21.32,45.56,1.75,14.79,0.33,0.25,0.35,6.87,0.07,0.86,0.02,0.21,0.0,7.68,1.94,0.65,5.09,4.61,1.53,17.44,17.44,0.58,21.2,5.53,2.07,0.43,,35.89,19.63,25.44,5.03,1.86,4.85,0.59,52.19,50.79,0.0,0.41,0.46,1.02,0.18,0.51,2.4,5.07,0.52,0.85,0.48,0.37,3.11,1.89,0.31,3.56,20.56,31.23,1.35,104.63,1.77,84.86,2.92,26.64,2.14,9.61,15.56,1.12,37.9,3.14,0.11,0.67,0.81,25.64,1.39,46.84,2.44,24.37,,24.37,23.22,0.37,0.06,1.9,1.97,2.94,15.68,16.81,35.14,7.37,20.78,1.59,3.14,3.11,8.68,1.15,1.67,5.01,0.12,6.4,5.08,1.32,0.52,0.11,1.83,0.15,1.05,0.95,0.45,0.06,0.14,0.0,0.0,0.11,204.0,51.0,152.5,139.9,81.2,4.4,8.48,5.63,28.2,7.65,8.0,57.6,3.94,775.0,224.0,5.5,49.2,4.75,3.6,12.9,3.25,5.75,4.5,13.0,0.73,30.14,0.115,15.8,3.52,13.7,0.121,0.267,509.0,85.2,16.4,3.6,7.5,1.59,,17.0,79.0,,10.0,,3.7,1.14,48.7,15.6,29.6,6.28,35.8,0.73,0.15,18.6,16.6,0.33,1.45,11.62,0.15,10.9,0.29,0.0,4.22,0.55,1.22,4.51,11.35,0.43,1.47,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,1.6,,,,61.4,5.1,0.0,74.7,,18.1,,,,73.2,93.3,,,,,,,,5.0,19.4,3.3,9.8,32.5,70.5,6.7,100.0,0.0,0.0,0.0,0.0,0.0,9.9,,1.7,,49.1,155.0,56.5,23.6,5.0,0.0,0.0,1.6,6.5,4.8,25.2,6.8,3.3,3.3,3.3,1.6,4.0,3.3,0.0,119.0,74.2,96.3,1.94,2.35,2.19,1.98,2.38,2.24,2.5,0.0,10.0,34.7,6.5,5.0,6.5,1.6,0.0,,0.0,,50.0,,0.0,1.6,0.1,,0.1,0.0,0.1,,0.0,0.0,0.0,0.0,31.6,5.0,66.1,39.0,314.0,321.7,269.1,114.2,70.4,162.8,15.3,23.1,31.6,33.4,46.8,63.6,15.3,28.3,5.0,51.0,22.4,4.5,2.3,3.6
6,ZA,T,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,40.3,1.7,,,,,4.8,,3.2,40.3,24.2,,,85.5,100.0,100.0,88.9,100.0,95.2,98.4,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ZA,T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,10.0,1.8,,,,,3.3,,3.5,40.4,17.5,,,84.5,100.0,100.0,98.3,100.0,100.0,100.0,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ZA,T,3,1.38,26.55,91.62,79.56,7.96,46.55,40.2,7.22,39.36,75.02,1.86,24.86,0.48,0.5,0.32,14.38,0.08,0.85,0.03,0.38,0.0,8.89,2.39,3.29,11.18,8.87,6.63,25.49,19.31,1.65,48.23,7.5,3.06,1.56,,,,,6.12,2.0,5.71,0.54,43.42,41.63,0.06,0.44,0.43,1.5,0.23,1.92,2.79,5.57,0.46,1.16,0.54,0.56,4.34,2.4,0.23,3.12,25.15,44.88,1.71,126.81,2.64,113.04,3.0,38.86,2.31,13.57,21.2,2.39,61.53,4.92,0.11,0.9,1.9,43.88,3.55,92.11,2.4,23.78,,,22.32,,,1.74,1.88,3.62,24.09,33.3,60.6,15.77,32.95,5.13,5.17,3.75,11.37,2.1,2.78,5.21,,6.87,5.33,1.54,0.51,0.16,1.94,0.17,1.19,0.98,0.44,0.06,0.13,0.0,0.01,0.17,198.0,49.4,148.4,132.1,82.5,4.4,8.45,4.2,20.7,5.78,6.85,48.9,4.46,618.0,185.0,5.75,36.0,4.13,3.05,12.18,2.15,4.75,4.35,11.0,0.66,30.33,0.11,15.5,3.41,14.1,0.122,0.269,487.0,84.3,16.5,3.8,7.4,1.83,,12.0,78.5,,,,,1.14,48.5,15.8,29.7,5.94,35.7,0.73,0.18,18.5,16.7,0.31,1.44,11.41,0.17,11.1,0.29,0.06,4.19,0.36,1.18,4.4,11.53,0.42,1.5,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,2.4,5.0,25.1,1.8,50.7,2.5,0.0,85.8,4.0,29.1,3.4,40.4,20.9,81.1,95.0,85.0,100.0,100.0,93.6,100.0,97.6,99.2,5.6,19.9,1.6,10.2,31.7,71.5,8.8,97.7,0.0,0.0,0.0,0.0,0.8,8.0,,,2.4,49.3,161.0,61.0,23.4,11.2,3.1,0.0,2.3,4.8,3.2,27.4,8.9,3.2,14.8,10.9,5.5,7.4,4.7,1.5,119.0,75.0,96.9,2.31,2.81,2.45,2.38,2.87,2.52,3.1,0.1,9.8,33.7,4.0,11.1,3.3,34.4,27.3,,,,,,,34.4,6.7,,,0.0,7.77,,,0.0,0.0,0.0,33.6,11.8,67.5,39.0,301.0,281.9,262.5,119.0,78.4,166.8,16.2,22.5,28.2,34.1,55.4,71.7,,,,,,,,
9,ZB,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,45.3,137.7,127.7,75.6,4.7,8.63,1.7,12.8,5.8,6.5,41.7,5.28,464.0,140.0,4.7,23.8,9.8,3.5,12.3,0.0,5.2,7.0,8.5,0.96,29.55,0.095,15.9,3.47,12.7,0.113,0.302,495.0,95.7,20.3,3.8,7.9,1.96,7.0,10.0,79.3,146.0,,55.6,,1.1,47.0,16.2,30.1,6.72,36.8,0.78,0.11,17.3,16.0,0.42,1.94,11.29,0.23,10.7,0.29,0.0,4.98,0.0,1.04,5.68,11.88,0.44,1.42,16.3,3.7,1.05,2.7,0.11,0.49,7.7,0.27,655.0,0.17,11.23,1.48,837.0,754.0,0.13,0.47,3.72,1.29,1.61,1.38,12.28,7.16,0.15,2.43,17.74,10.3,0.3,2.51,1.49,9.72,63.6,0.0,,,,15.2,6.1,0.0,100.0,,51.5,,,,93.9,100.0,,,,,,,,0.0,12.1,3.0,6.1,21.2,93.9,30.3,100.0,0.0,0.0,0.0,0.0,0.0,15.2,1.2,,,49.6,166.0,64.8,23.6,12.1,18.2,0.0,12.1,6.1,0.0,27.3,0.0,0.0,21.2,9.1,3.0,15.0,3.0,0.0,123.0,81.5,102.3,2.79,3.32,3.04,2.82,3.37,3.09,6.7,0.4,12.1,48.5,3.0,3.0,3.0,57.6,51.5,51.5,,21.9,,39.4,,57.6,10.2,10.2,,0.0,11.72,0.0,,3.0,0.0,0.0,45.5,30.3,45.0,39.0,322.0,296.4,236.1,127.6,81.6,155.6,27.3,36.4,48.5,36.4,78.8,81.8,,,,,,,,
