County, Sex, Xiang, M001, M002, M003, M004, M005, M006, M007, M008, M009, M010, M011, M012, M015, M016, M017, M018, M021, M022, M023, M025, M027, M028, M029, M030, M031, M033, M035, M036, M037, M038, M039, M040, M041, M042, M043, M044, M045, M048, M049, M058, M059, M060, M061, M062, M063, M064, M065, M066, M067, M068, M069, M070, M071, M072, M073, M074, M075, M077, M086, M087, M088, M103, M104, M105, M106, M107, M113, M117, 
AA,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,3,  3.67, 72.03,124.01,143.89, 14.87, 97.10, 80.00, 13.95, 63.90, 92.12, 16.63,172.86,  0.78,103.03,  0.26,  0.43, 28.07, 14.00,  5.44,  5.34, 95.11,156.31, 18.09,  2.83,105.99,  5.42,105.56,.     ,.     ,.     ,  4.79,  7.04,  2.67,  4.52,  0.67,  4.99,  3.59,  1.34,  1.35,  9.78,  2.51,  0.45, 13.69, 10.68, 10.72,  0.25,176.91,  9.53, 73.69,  9.95,302.49,  6.76, 15.19,214.69,  4.52, 80.78,  8.73,  2.15, 15.59,.     ,.     , 14.44,.     , 18.36, 10.61,  7.75,  4.13,  0.00,
AA,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,3,  3.20, 42.49, 74.48,100.46,  7.67, 59.48, 60.57,  7.24, 39.89, 43.23, 11.49, 82.56,  2.41, 44.56,  0.00,  2.20, 13.60, 10.34,  2.42,  1.08, 24.63, 57.72, 15.59,  1.24, 40.03,  1.75,.     , 29.18, 10.78, 12.67,  2.08,  1.57,  3.50,  7.37,  1.06,  5.13,  3.95,  0.72,  5.88,  9.17,  1.92,  1.61, 19.89,  8.89,  9.01,  0.92,135.01,  8.25, 56.51,  5.05,106.15,  3.31,  9.24, 77.83,  2.41, 49.04,  2.70,  3.16, 12.62,  1.00,  0.00, 12.64,  0.31, 16.02,  9.71,  6.30,  4.73,  0.09,
AA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,3,  3.44, 57.26, 99.25,122.17, 11.27, 78.29, 70.28, 10.60, 51.90, 67.67, 14.06,127.71,  1.60, 73.80,  0.13,  1.32, 20.84, 12.17,  3.93,  3.21, 59.87,107.02, 16.84,  2.04, 73.01,  3.58,.     ,.     ,.     ,.     ,  3.44,  4.30,  3.08,  5.95,  0.87,  5.06,  3.77,  1.03,  3.62,  9.47,  2.21,  1.03, 16.79,  9.79,  9.87,  0.59,155.96,  8.89, 65.10,  7.50,204.32,  5.04, 12.21,146.26,  3.46, 64.91,  5.72,  2.66, 14.11,.     ,.     , 13.54,.     , 17.19, 10.16,  7.03,  4.43,  0.04,
AB,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,3,  5.01, 67.69,138.61,170.09, 16.66,110.54, 91.44, 15.81, 78.66, 85.59, 29.91,351.65,  4.18,195.05,  1.01,  3.38, 91.76, 12.92,  5.16,  5.85, 71.07,171.88, 45.78,  1.85,101.78,  0.77, 79.23,.     ,.     ,.     ,  4.80,  3.91,  2.58,  8.16,  1.81,  4.61,  4.61,  0.50,  1.09, 13.46,  2.10,  1.53, 10.39,  7.02,  7.58,  1.55,148.25, 11.91, 61.62, 14.94,399.23, 12.90, 20.35,375.96,  4.58, 58.61, 15.45,  2.01, 21.42,.     ,.     , 13.81,.     , 25.04, 14.33, 10.71,  3.97,  0.00,
AB,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,F,3,  3.84, 51.36,101.97,127.78,  8.83, 65.11, 80.46,  8.41, 47.33, 41.93, 23.16,149.44,  2.80, 33.97,  0.77,  0.84, 84.70, 15.21,  2.81,  2.04, 31.17, 65.81, 42.62,  0.79, 46.65,  0.00,.     , 27.54,  8.05, 20.67,  1.66,  1.10,  3.59,  5.40,  1.30,  4.40,  3.60,  0.24,  1.76,  9.52,  1.53,  1.00,  9.76, 12.53,  3.14,  0.86,100.11,  8.66, 53.30, 10.83,157.18,  9.02, 14.47,141.77,  1.00, 46.74,  5.03,  0.80, 19.69,  1.75,  0.40, 11.57,  0.37, 19.19, 11.97,  7.22,  3.75,  0.00,
AB,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,T,3,  4.42, 59.52,120.29,148.94, 12.75, 87.83, 85.95, 12.11, 62.99, 63.76, 26.54,250.54,  3.49,114.51,  0.89,  2.11, 88.23, 14.07,  3.99,  3.94, 51.12,118.84, 44.20,  1.32, 74.22,  0.39,.     ,.     ,.     ,.     ,  3.23,  2.51,  3.08,  6.78,  1.56,  4.51,  4.11,  0.37,  1.43, 11.49,  1.82,  1.27, 10.08,  9.78,  5.36,  1.21,124.18, 10.29, 57.46, 12.88,278.21, 10.96, 17.41,258.87,  2.79, 52.68, 10.24,  1.41, 20.56,.     ,.     , 12.69,.     , 22.12, 13.15,  8.96,  3.86,  0.00,
AC,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,M,3,  3.97, 77.18,118.00,146.22, 15.07,104.73, 78.25, 14.26, 67.97, 80.21, 25.94,213.13,  2.67,129.88,  0.38,  1.90, 49.83,  8.63,  4.41,  3.02, 70.71,141.87, 24.61,  1.03, 89.83,  3.36, 70.33,.     ,.     ,.     ,  2.42,  1.56,  1.86,  4.26,  0.48,  2.97,  2.57,  0.66,  1.46,  9.28,  2.10,  0.38,  6.96,  7.03,  8.17,  0.61,133.59,  8.66, 76.59, 12.30,405.19,  9.99, 11.52,279.48,  3.75, 80.99,  4.13,  9.40, 11.74,.     ,.     ,  9.09,.     , 19.86, 11.52,  8.34,  3.35,  0.00,
