County, Sex, Xiang, P001, P002, P003, P004, P005, P006, P007, P008, P009, P012, P013, P014, P015, P025, P027, P028, P029, P030, P031, P032, P033, P034, P035, P036, P037, P041, P042, P044, P046, R001, R002, R003, R005, R006, R007, R008, R010, R011, R016, R019, R020, R021, R022, R023, R025, R026, U001, U002, U003, U012, U013, U015, U016, U017, U018, U019, U020, U021, U022, U023, U024, 
AA,M,1,137   ,44.7  , 92.0 , 99.9 , 63.8 , 4.2  ,7.60  , 0.00 , 3.4  ,55.8  ,4.47  , 665  , 88   ,0.21  ,0.113 ,20.0  ,2.01  ,12.2  ,0.133 ,0.152 , 93   ,344   ,195   , 84.1 ,15.7  , 765  ,  4   ,   .  ,109   ,14.4  ,1.50  ,37.0  ,25.7  , 9.71 ,35.4  , 0.96 ,20.7  ,16.3  ,15.1  ,10.34 , 1.25 , 0.83 , 5.60 , 9.26 , 1.88 ,14.5  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
AA,M,2,155   ,55.9  , 99.2 ,111.2 , 61.0 , 4.0  ,7.60  , 3.14 , 4.3  ,43.4  ,3.59  , 585  , 39   ,1.41  ,0.084 ,13.5  ,2.11  ,11.1  ,0.116 ,0.105 ,107   ,582   ,206   , 79.6 ,15.7  , 634  , 45   ,   .  , 93   ,13.4  ,1.45  ,38.1  ,22.5  , 8.43 ,30.9  , 0.81 ,22.0  ,16.1  ,12.9  ,14.66 , 0.97 , 0.64 , 4.86 , 7.31 , 2.06 ,13.1  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
AA,M,3,146   ,50.3  , 95.6 ,105.6 , 62.4 , 4.1  ,7.60  , 1.57 , 3.9  ,49.6  ,4.03  , 625  , 64   ,0.81  ,0.099 ,16.8  ,2.06  ,11.7  ,0.125 ,0.129 ,100   ,463   ,201   , 81.8 ,15.7  , 700  , 25   ,.     ,101   ,13.9  ,1.48  ,37.6  ,24.1  , 9.07 ,33.1  , 0.89 ,21.4  ,16.2  ,14.0  ,12.50 , 1.11 , 0.73 , 5.23 , 8.29 , 1.97 ,13.8  ,10.2  ,1.99  , 6.6  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,1,170   ,54.6  ,115.7 ,136.9 , 93.9 , 4.8  ,8.00  , 0.40 , 6.4  ,41.8  ,3.59  , 673  , 84   ,0.96  ,0.119 ,20.6  ,2.51  ,11.5  ,0.128 ,0.111 , 32   ,565   ,243   , 98.4 ,17.6  ,.     ,  0   ,.     ,  0   ,12.8  ,1.63  ,34.5  ,29.3  ,10.53 ,39.9  , 1.15 ,22.8  ,11.8  ,13.2  , 9.78 , 1.08 , 0.86 , 6.56 , 9.98 , 1.95 ,17.4  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,2,143   ,47.9  , 95.3 , 97.4 , 74.6 , 4.1  ,7.90  , 0.00 , 4.9  ,42.8  ,2.48  , 730  , 47   ,1.71  ,0.108 ,19.9  ,2.69  ,11.5  ,0.119 ,0.106 , 41   ,240   ,181   , 85.4 ,15.7  ,.     , 18   ,.     ,  0   ,12.7  ,1.66  ,41.4  ,22.5  , 6.64 ,29.2  , 0.70 ,26.0  ,15.3  ,13.3  ,13.98 , 0.95 , 0.43 , 3.89 , 7.36 , 2.05 ,13.1  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,3,157   ,51.3  ,105.5 ,117.2 , 84.3 , 4.5  ,7.95  , 0.20 , 5.7  ,42.3  ,3.04  , 702  , 66   ,1.33  ,0.114 ,20.3  ,2.60  ,11.5  ,0.123 ,0.108 , 37   ,403   ,212   , 91.9 ,16.7  ,.     ,  9   ,.     ,  0   ,12.8  ,1.65  ,38.0  ,25.9  , 8.58 ,34.5  , 0.92 ,24.4  ,13.6  ,13.3  ,11.88 , 1.02 , 0.65 , 5.22 , 8.67 , 2.00 ,15.3  , 7.6  ,2.15  , 4.8  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,3,151   ,50.8  ,100.6 ,111.4 , 73.3 , 4.3  ,7.78  , 0.89 , 4.8  ,46.0  ,3.53  , 663  , 65   ,1.07  ,0.106 ,18.5  ,2.33  ,11.6  ,0.124 ,0.119 , 68   ,433   ,206   , 86.9 ,16.2  ,.     , 17   ,.     , 51   ,13.3  ,1.56  ,37.8  ,25.0  , 8.83 ,33.9  , 0.91 ,22.9  ,14.9  ,13.6  ,12.19 , 1.06 , 0.69 , 5.23 , 8.48 , 1.99 ,14.5  , 8.9  ,2.07  , 5.7  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,1,143   ,40.2  ,103.0 ,100.8 , 77.3 , 4.3  ,7.40  , 0.00 , 6.2  ,45.7  ,3.03  , 673  ,  0   ,0.32  ,0.106 ,17.5  ,2.20  , 9.6  ,0.106 ,0.073 , 70   ,359   ,   .  , 80.2 ,12.9  , 523  ,  0   , 63.2 ,118   ,14.1  ,1.58  ,39.6  ,29.7  , 6.16 ,35.8  , 0.91 ,28.9  ,10.6  ,14.0  , 6.36 , 0.51 , 0.58 , 2.61 ,11.14 , 2.19 ,16.4  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
