County, Sex, Xiang, Q005, Q006, Q031, Q089, Q090, Q091, Q092, Q128, Q129, Q130, Q131, Q132, Q133, Q134, Q135, Q136, Q137, Q138, Q139, Q140, Q141, Q142, Q143, Q144, Q145, Q146, Q147, Q148, Q149, Q150, Q151, Q152, Q153, Q154, Q155, Q156, Q157, Q158, Q159, Q160, Q161, Q162, Q163, Q164, Q171, Q172, Q173, Q174, Q175, Q176, Q177, Q185, Q188, Q189, Q190, Q191, Q192, 
AA,M,1,  7.7 ,  0.0 ,.     ,51.0  ,165   ,55.5  ,20.4  , 84.6 , 73.1 , 73.1 ,.     ,25.3  ,.     , 42.3 ,.     , 84.6 ,12.4  ,12.4  ,.     , 0.00 ,14.31 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  3.8 ,  0.0 , 50.0 ,  3.8 , 57.7 ,  0.0 ,  0.0 , 46.2 , 54.7 , 30.8 ,662.2 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 14.7 , 15   ,336   , 30.6 , 52.6 ,124.6 ,120.9 , 36.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,2,  4.0 ,  0.0 ,.     ,49.9  ,161   ,52.3  ,20.0  , 72.0 , 60.0 , 60.0 ,.     ,21.1  ,.     , 40.0 ,.     , 68.0 , 9.6  , 9.6  ,.     , 0.00 ,11.12 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 24.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 24.0 , 36.9 , 18.4 ,710.3 , 25.5 ,  0.8 ,  0.0 ,  0.0 ,  1.9 ,  0.0 , 11.1 , 33   ,293   , 19.7 , 56.2 , 99.8 ,113.8 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,3,  5.9 ,  0.0 ,.     ,50.5  ,163   ,53.9  ,20.2  , 78.3 , 66.5 , 66.5 ,.     ,23.2  ,.     , 41.1 ,.     , 76.3 ,11.0  ,11.0  ,.     , 0.00 ,12.71 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  1.9 ,  0.0 , 37.0 ,  1.9 , 28.9 ,  0.0 ,  0.0 , 35.1 , 45.8 , 24.6 ,686.3 , 12.8 ,  0.4 ,  0.0 ,  0.0 ,  0.9 ,  0.0 , 12.9 , 24   ,315   , 25.2 , 54.4 ,112.2 ,117.4 , 18.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,1,  8.3 ,  0.0 ,.     ,47.0  ,155   ,50.2  ,20.7  ,  4.2 ,  0.0 ,.     ,  0.0 ,.     ,30.0  ,.     ,  0.0 ,  4.2 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,583.0 ,  4.7 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 12.9 , 47   ,327   , 29.1 , 22.5 , 87.0 , 89.5 ,  0.0 ,17.3  ,52.0  ,24.8  ,3.7   ,0.6   ,3.2   ,
AA,F,2, 11.5 ,  0.0 ,.     ,47.0  ,151   ,47.9  ,21.0  ,  3.8 ,  3.8 ,.     ,  3.8 ,.     ,30.0  ,.     ,  0.0 ,  3.8 , 0.1  ,.     , 0.1  , 0.00 , 0.09 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  3.8 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  3.8 ,  5.8 ,  2.9 ,548.1 ,  1.7 ,  0.0 ,  0.0 ,  0.0 ,  4.7 ,  0.0 , 11.5 , 48   ,293   , 12.7 , 36.9 , 55.8 ,104.8 ,  0.0 ,17.5  ,47.0  ,22.6  ,3.9   ,0.8   ,3.0   ,
AA,F,3,  9.9 ,  0.0 ,.     ,47.0  ,153   ,49.1  ,20.9  ,  4.0 ,  1.9 ,.     ,  1.9 ,.     ,30.0  ,.     ,  0.0 ,  4.0 , 0.1  ,.     , 0.1  , 0.00 , 0.04 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  1.9 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  1.9 ,  2.9 ,  1.4 ,565.6 ,  3.2 ,  0.0 ,  0.0 ,  0.0 ,  2.4 ,  0.0 , 12.2 , 48   ,310   , 20.9 , 29.7 , 71.4 , 97.2 ,  0.0 ,17.4  ,49.5  ,23.7  ,3.8   ,0.7   ,3.1   ,
AA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,3,  7.9 ,  0.0 , 848.1,48.7  ,158   ,51.5  ,20.5  , 41.1 , 34.2 ,.     ,.     ,.     ,.     ,.     ,.     , 40.1 , 5.5  ,.     ,.     , 0.00 , 6.38 ,.     ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.9 ,  0.0 , 19.4 ,  0.9 , 14.4 ,  0.0 ,  0.0 , 18.5 , 24.4 , 13.0 ,625.9 ,  8.0 ,  0.2 ,  0.0 ,  0.0 ,  1.7 ,  0.0 , 12.6 , 36   ,312   , 23.0 , 42.1 , 91.8 ,107.3 ,  9.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,1, 11.5 ,  0.0 ,.     ,48.1  ,163   ,53.1  ,20.1  , 88.5 , 88.5 , 88.5 ,.     ,22.3  ,.     , 65.4 ,.     , 88.5 ,13.8  ,13.8  ,.     , 0.00 ,15.95 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 15.4 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 15.4 ,  8.8 ,  4.4 ,682.8 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  6.6 , 79   ,278   , 33.6 , 33.7 , 64.6 ,132.0 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
