County, Sex, Xiang, D001, D002, D003, D004, D005, D006, D007, D008, D009, D010, D011, D012, D013, D014, D015, D016, D017, D018, D019, D020, D021, D022, D023, D024, D025, D026, D027, D028, D029, D030, D031, D032, D033, D034, D035, D036, D037, D038, D039, D040, D041, D042, D043, D044, D045, D046, D047, D048, D049, D050, D051, D052, D053, D054, D055, D056, D057, D058, D059, D060, D061, D062, D063, D064, D065, D066, D067, D068, D069, D070, D071, D072, D073, D074, D075, D076, D077, D078, D079, D080, D081, D082, D083, D084, D085, D086, D087, D088, D089, D090, D091, D092, D093, D094, D095, D096, D097, D098, D099, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, G001, G002, G003, G004, G005, 
AA,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,3,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,3,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,1,2678  ,87.2  ,65.8  ,397   ,29.8  , 9.9  ,  2.7 ,  7.2 ,58.8  ,119.6 , 450  , 569  ,54.4  , 94.9 ,1.9   , 0.9  ,16.9  , 669  ,33.2  ,1.74  ,1526  ,355   , 8.4  , 9.99 ,5.33  , 35.7 ,12.86 ,1030  ,156.3 ,1186  , 85.8 , 14.2 ,48.7  ,17.1  , 72.9 , 27.1 ,483.9 , 21.6 ,  0.0 ,  16.4, 34.8 ,225.7 ,128.1 ,  6.2 ,  2.2 , 2.5  ,  0.0 ,17.7  , 67.9 , 57.3 , 10.6 , 69.4 , 1.3  ,45.7  , 47.0 , 8.3  ,11.9  ,23.0  , 8.8  , 0.0  , 8.0  , 7.7  , 3.53 , 4.46 , 5.98 , 1.27 ,13.03 , 2.88 , 1.48 , 3.06 , 5.01 , 3.28 , 1.29 ,2.56  , 3.26 , 2.96 , 2.89 , 2.38 , 1.00 , 2.65 , 3.50 ,28.84 ,35.64 ,20.72 ,195.7 ,0.75  , 32.6 , 42.1 , 23.2 ,1.92  ,0.84  ,4.00  ,31.47 ,27.29 ,  4.7 , 37.2 , 30.8 , 0.87 ,  0.9 , 22.4 , 3.95 ,116.2 , 0.94 , 0.46 ,  5.0 , 12.0 , 1.86 ,14.27 ,1.53  ,109.1 , 12.3 , 13.5 , 5.18 ,26.70 ,31.37 , 3.91 ,43.69 ,286.2 ,143.0 , 46.6 , 1.86 , 74.6 , 30.6 ,308.5 , 450  ,  8.7 ,12.78 ,12.48 , 58.6 ,0.001 ,0.001 ,0.022 ,0.006 ,0.114 ,0.001 ,0.485 ,0.007 ,0.015 ,0.002 ,16.13 , 1.71 ,0.105 ,0.015 ,0.016 , 5.65 ,30.14 ,37.07 , 4.66 ,0.045 ,0.332 ,0.154 ,0.046 ,0.0024,0.082 ,0.030 ,0.365 ,0.519 ,0.011 ,0.017 ,0.013 ,0.052 ,.     ,.     ,.     ,.     ,.     ,
AA,T,2,2637  ,69.8  ,65.0  ,432   ,23.2  , 9.8  ,  2.4 ,  7.5 ,66.2  ,123.7 , 380  , 503  ,31.1  , 81.7 ,1.4   , 0.7  ,14.5  , 538  ,36.2  ,1.87  ,1549  ,417   , 8.1  , 9.87 ,5.05  , 36.5 ,12.59 , 979  ,164.0 ,1143  , 86.3 , 13.7 ,47.0  ,17.9  , 76.0 , 24.0 ,501.0 , 21.8 ,  1.5 ,  20.4, 30.9 ,174.1 ,129.3 ,  8.3 ,  6.7 , 0.0  ,  1.1 ,18.3  , 81.7 , 63.8 , 17.9 , 57.7 , 5.2  ,24.7  , 29.9 , 8.6  ,12.3  ,25.6  , 7.6  , 0.0  ,11.9  , 1.9  , 3.68 , 4.89 , 6.29 , 1.43 ,13.09 , 3.01 , 1.61 , 2.95 , 5.37 , 3.37 , 1.38 ,2.81  , 3.37 , 3.28 , 3.09 , 2.48 , 1.02 , 2.66 , 3.66 ,25.25 ,23.58 ,18.98 ,209.7 ,0.67  , 35.3 , 35.9 , 26.3 ,1.46  ,1.09  ,2.60  ,20.76 ,23.88 ,  4.1 , 31.5 , 33.3 , 0.74 ,  1.0 , 28.2 , 4.50 ,147.6 , 0.92 , 0.54 ,  6.5 , 12.2 , 2.18 ,12.74 ,1.35  ,145.0 , 14.1 , 14.4 , 5.04 ,23.51 ,20.66 , 2.57 ,51.76 ,228.7 ,106.5 , 57.6 , 0.99 , 81.6 , 16.5 ,164.6 , 263  , 11.3 ,14.82 , 9.14 , 11.8 ,0.001 ,0.001 ,0.033 ,0.007 ,0.180 ,0.001 ,0.714 ,0.013 ,0.024 ,0.003 ,17.80 , 1.89 ,0.174 ,0.026 ,0.028 , 6.82 ,32.70 ,31.37 , 4.00 ,0.067 ,0.334 ,0.153 ,0.069 ,0.0015,0.107 ,0.037 ,0.257 ,0.466 ,0.021 ,0.027 ,0.017 ,0.024 ,.     ,.     ,.     ,.     ,.     ,
AA,T,3,2658  ,78.5  ,65.4  ,415   ,26.5  , 9.9  ,  2.6 ,  7.4 ,62.5  ,121.7 , 415  , 536  ,42.8  , 88.3 ,1.6   , 0.8  ,15.7  , 604  ,34.7  ,1.81  ,1538  ,386   , 8.3  , 9.93 ,5.19  , 36.1 ,12.72 ,1005  ,160.2 ,1165  , 86.0 , 13.9 ,47.9  ,17.5  , 74.5 , 25.6 ,492.4 , 21.7 ,  0.8 ,  18.4, 32.9 ,199.9 ,128.7 ,  7.3 ,  4.5 , 1.3  ,  0.6 ,18.0  , 74.8 , 60.5 , 14.3 , 63.6 , 3.3  ,35.2  , 38.5 , 8.5  ,12.1  ,24.3  , 8.2  , 0.0  ,10.0  , 4.8  , 3.60 , 4.67 , 6.14 , 1.35 ,13.06 , 2.94 , 1.55 , 3.01 , 5.19 , 3.33 , 1.33 ,2.69  , 3.31 , 3.12 , 2.99 , 2.43 , 1.01 , 2.66 , 3.58 ,27.05 ,29.61 ,19.85 ,202.7 ,0.71  , 34.0 , 39.0 , 24.8 ,1.69  ,0.97  ,3.30  ,26.12 ,25.59 ,  4.4 , 34.4 , 32.0 , 0.81 ,  1.0 ,  25.3,  4.23, 131.9, 0.93 , 0.50 ,  5.8 ,  12.1, 2.02 ,13.51 ,1.44  ,127.0 , 13.2 , 14.0 , 5.11 ,25.11 ,26.02 , 3.24 ,47.73 ,257.4 ,124.8 , 52.1 , 1.43 , 78.1 , 23.6 ,236.6 , 357  , 10.0 ,13.80 ,10.81 , 35.2 ,0.001 ,0.001 ,0.028 ,0.007 ,0.147 ,0.001 ,0.600 ,0.010 ,0.019 ,0.003 ,16.96 , 1.80 ,0.139 ,0.021 ,0.022 , 6.24 ,31.42 ,34.22 , 4.33 ,0.056 ,0.333 ,0.153 ,0.058 ,0.0019,0.095 ,0.034 ,0.311 ,0.493 ,0.016 ,0.022 ,0.015 ,0.038 ,31.1  ,121.4 ,  50  ,1     ,4     ,
AB,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
