County, Sex, Xiang, M001, M002, M003, M004, M005, M006, M007, M008, M009, M010, M011, M012, M013, M014, M015, M016, M017, M018, M019, M020, M021, M022, M023, M024, M025, M026, M027, M028, M029, M030, M031, M032, M033, M034, M035, M036, M037, M038, M039, M040, M041, M042, M043, M044, M045, M046, M047, M048, M049, M050, M051, M052, M053, M054, M055, M056, M057, M058, M059, M060, M061, M062, M063, M064, M065, M066, M067, M068, M069, M070, M071, M072, M073, M074, M075, M076, M077, M078, M079, M080, M081, M082, M083, M084, M085, M086, M087, M088, M089, M090, M091, M092, M093, M094, M095, M096, M097, M098, M099, M100, M101, M102, M103, M104, M105, M106, M107, M108, M109, M110, M111, M112, M113, M114, M115, M116, M117, M118, M119, 
AA,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,3,  4.39, 74.75, 89.04,134.95, 15.08,104.05, 77.25, 13.98, 57.70,110.50, 12.12, 72.85,  0.00,  1.88,  0.00, 18.80,  0.00,  0.85,  0.70,  5.05, 39.15, 13.50,  6.13,  0.85, 11.18, 11.18, 61.22,166.66, 29.62,  3.25, 98.27, 17.03,  0.00,  5.83,174.79,.     ,.     ,.     ,  3.89,  8.30,  7.14, 11.27,  0.31,  6.38,  6.38,  0.00,  0.00,  0.70,  1.67,  2.04, 10.58,  3.04, 11.88,  0.85,  1.33,  1.31,  2.87,  3.57,  2.50,  0.00, 12.13,  4.79, 37.08,  0.41,193.02,  3.16, 57.33,  4.96,342.69,  4.26,  2.52,333.19,  4.10, 61.15,  5.44,  1.15,  0.73,  3.22, 44.33,  6.47,142.60, 10.45, 20.32, 20.32,.     , 19.59,.     ,.     ,  1.67,  0.00,  0.31,  1.67, 50.76, 88.92,  8.56, 51.97, 26.76, 10.53,  4.31, 21.58,  1.31,  0.00,  9.84,.     , 21.95, 14.74,  7.21,  1.38,  0.31,  3.84,  0.46,  1.84,  7.83,  2.61,  2.00,  0.77,  0.00,  0.00,  4.61,
AA,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,3,  2.83, 68.53, 60.71, 94.76,  7.49, 50.53, 58.71,  6.91, 36.06, 58.77,  9.79, 32.37,  0.00,  0.56,  0.29,  6.03,  0.00,  0.00,  1.04,  2.95, 15.25,  6.73,  2.75,  0.59,  3.26,  3.26, 31.76, 62.46, 22.58,  0.31, 57.39, 10.72,  1.28,  0.67,.     , 27.54, 10.13,  5.91,  7.30,  5.28,  2.36,  8.07,  0.00,  5.17,  5.17,  0.00,  0.00,  1.61,  5.60,  0.00, 12.38,  2.12,  3.59,  1.19,  0.74,  0.62,  3.00,  1.74,  1.61,  0.00, 16.86,  2.99, 16.55,  0.00,122.77,  1.74, 37.82,  5.37,129.60,  3.09,  5.58,124.03,  2.17, 40.68,  2.00,  1.00,  0.00,  1.82, 26.39,  2.13, 83.78, 11.49, 17.29,.     , 17.29, 17.29,  0.31,  0.56,  6.53,  3.70,  0.84,  1.28, 22.11, 38.64,  8.59, 18.61,  9.53,  7.87, 11.61, 18.23,  1.89,  1.90,  6.60,  0.10, 14.17, 11.18,  2.99,  0.94,  0.16,  2.68,  0.31,  0.63,  6.14,  1.89,  2.05,  0.31,  0.00,  0.00,  1.57,
AA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,3,  3.61, 71.64, 74.88,114.86, 11.29, 77.29, 67.98, 10.45, 46.88, 84.64, 10.96, 52.61,  0.00,  1.22,  0.14, 12.42,  0.00,  0.42,  0.87,  4.00, 27.20, 10.12,  4.44,  0.72,  7.22,  7.22, 46.49,114.56, 26.10,  1.78, 77.83, 13.88,  0.64,  3.25,.     ,.     ,.     ,.     ,  5.59,  6.79,  4.75,  9.67,  0.15,  5.78,  5.78,  0.00,  0.00,  1.16,  3.63,  1.02, 11.48,  2.58,  7.74,  1.02,  1.04,  0.97,  2.94,  2.65,  2.06,  0.00, 14.50,  3.89, 26.82,  0.20,157.90,  2.45, 47.58,  5.17,236.15,  3.67,  4.05,228.61,  3.13, 50.91,  3.72,  1.07,  0.36,  2.52, 35.36,  4.30,113.19, 10.97, 18.80,.     ,.     , 18.44,.     ,.     ,  4.10,  1.85,  0.57,  1.48, 36.44, 63.78,  8.58, 35.29, 18.14,  9.20,  7.96, 19.91,  1.60,  0.95,  8.22,.     , 18.06, 12.96,  5.10,  1.16,  0.24,  3.26,  0.39,  1.24,  6.99,  2.25,  2.02,  0.54,  0.00,  0.00,  3.09,
AB,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,3,  4.07, 43.33, 94.72,124.64, 15.37, 92.53, 81.23, 14.45, 43.42, 92.30, 16.74,177.20,  0.33,  1.56,  1.00, 43.95,  0.00,  0.00,  3.70, 40.44, 83.17, 14.60,  6.07,  0.00,  7.10,  6.52, 63.76,166.30, 45.71,  2.34,125.01, 13.59,  5.43,  2.03,122.81,.     ,.     ,.     , 10.80,  4.74,  5.48,  8.54,  1.06,  8.02,  8.02,  0.00,  0.00,  1.46,  0.00,  2.38,  2.31,  3.08,  4.66,  0.00,  0.00,  2.36,  3.26,  2.98,  2.43,  0.66, 12.48,  7.65, 25.16,  0.66,196.62,  2.32, 46.26,  5.76,356.11,  3.67,  3.98,352.14,  1.71, 30.91, 15.68,  0.97,  0.65,  3.70, 42.76,  6.04,167.77,  6.30, 10.44, 10.44,.     , 10.44,.     ,.     ,  0.00,  0.77,  0.81,  6.15, 35.37, 64.41, 11.05, 24.63, 14.80, 10.11,  7.72, 27.12,  0.33,  0.77, 12.95,.     , 20.35, 16.05,  4.30,  0.99,  0.00,  3.31,  0.50,  1.82,  9.60,  4.47,  0.83,  0.66,  0.00,  0.00,  3.47,
