County, Sex, Xiang, Q001, Q002, Q003, Q004, Q005, Q006, Q007, Q008, Q009, Q010, Q011, Q012, Q013, Q014, Q015, Q016, Q017, Q018, Q019, Q020, Q021, Q022, Q023, Q024, Q025, Q026, Q027, Q028, Q029, Q030, Q031, Q032, Q033, Q034, Q035, Q036, Q037, Q038, Q039, Q040, Q041, Q042, Q043, Q044, Q045, Q046, Q047, Q048, Q049, Q050, Q051, Q052, Q053, Q054, Q055, Q056, Q057, Q058, Q059, Q060, Q061, Q062, Q063, Q064, Q065, Q066, Q067, Q068, Q069, Q070, Q071, Q072, Q073, Q074, Q075, Q076, Q077, Q078, Q079, Q080, Q081, Q082, Q083, Q084, Q085, Q086, Q087, Q088, Q089, Q090, Q091, Q092, Q093, Q094, Q095, Q096, Q097, Q098, Q099, Q100, Q101, Q102, Q103, Q104, Q105, Q106, Q107, Q108, Q109, Q110, Q111, Q112, Q113, Q114, Q115, Q116, Q117, Q118, Q119, Q120, Q121, Q122, Q123, Q124, Q125, Q126, Q127, Q128, Q129, Q130, Q131, Q132, Q133, Q134, Q135, Q136, Q137, Q138, Q139, Q140, Q141, Q142, Q143, Q144, Q145, Q146, Q147, Q148, Q149, Q150, Q151, Q152, Q153, Q154, Q155, Q156, Q157, Q158, Q159, Q160, Q161, Q162, Q163, Q164, Q165, Q166, Q167, Q168, Q169, Q170, Q171, Q172, Q173, Q174, Q175, Q176, Q177, Q178, Q179, Q180, Q181, Q182, Q183, Q184, Q185, Q186, Q187, Q188, Q189, Q190, Q191, Q192, Q193, Q194, Q195, Q196, Q197, Q198, Q199, Q200, Q201, Q202, Q203, Q204, Q205, Q206, Q207, Q208, Q209, Q210, Q211, Q212, Q213, Q214, Q215, Q216, Q217, Q218, Q219, Q220, Q221, Q222, Q223, Q224, Q225, Q226, Q227, Q228, Q229, Q230, Q231, Q232, Q233, Q234, Q235, Q236, Q237, Q238, Q239, Q240, Q241, Q242, Q243, Q244, Q245, Q246, Q247, 
AA,M,1,.     ,.     ,.     ,.     ,  3.3 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,  6.7 ,  0.0 ,  0.0 ,.     ,.     ,.     ,.     , 70.0 ,.     ,.     ,  3.3 ,.     ,.     ,.     ,.     , 73.3 , 16.7 , 40.0 , 90.0 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  0.0 , 16.7 ,  0.0 ,  0.0 , 16.7 , 83.3 ,  0.0 ,  0.0 , 90.0 ,  0.0 ,  0.0 , 90.0 , 10.0 ,  0.0 , 0.9  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,47.6  ,164   ,57.3  ,21.3  , 13.3 ,  3.3 , 30.0 , 26.7 , 13.3 , 26.7 , 30.0 ,  6.7 ,  8.7 , 13.3 ,  6.7 ,  6.7 , 0.6  ,  3.3 ,  3.3 ,121   ,77.8  , 99.4 ,2.97  ,3.77  ,2.93  ,2.98  ,3.80  ,2.85  , 1.2  , 0.3  ,  3.3 , 10.0 , 10.0 ,  0.0 ,  0.0 , 70.0 ,14.9  , 43.3 ,  6.7 , 80.0 , 80.0 , 80.0 ,.     ,23.5  ,.     , 43.3 ,.     , 80.0 ,19.3  ,19.3  ,.     , 0.24 ,22.55 , 0.24 ,.     ,  3.3 ,  0.0 ,  0.0 ,  3.3 ,  0.0 , 46.7 , 36.7 , 73.1 , 36.7 , 89.0 , 30.0 , 12.9 , 24.2 ,482.2 , 26.1 ,  0.5 ,  0.0 , 16.4 ,  8.1 ,  7.9 , 21.0 , 83.3 , 56.7 , 46.7 , 3.2  ,17.8  , 89.5 , 17   ,303   , 65.7 , 96.0 ,132.8 , 99.2 , 16.0 ,  3.3 , 36.7 , 40.0 , 10.0 ,  0.0 ,  0.0 , 10.0 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,33.8  ,1.13  ,1.42  ,1.05  ,16.6  ,1.03  ,
AA,M,2,.     ,.     ,.     ,.     ,  3.3 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,  3.3 ,  0.0 ,  0.0 ,.     ,.     ,.     ,.     , 70.0 ,.     ,.     , 10.0 ,.     ,.     ,.     ,.     , 46.7 , 13.3 , 43.3 , 73.3 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  0.0 , 10.0 ,  0.0 ,  0.0 , 10.0 , 73.3 , 16.7 ,  0.0 , 36.7 ,  0.0 ,  0.0 , 36.7 , 50.0 , 13.3 , 0.8  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,49.5  ,163   ,56.7  ,21.2  , 20.0 , 30.0 , 60.0 , 20.0 , 16.7 , 13.3 ,  6.7 ,  0.0 ,  0.0 , 16.7 , 13.3 , 10.0 , 1.0  , 10.0 , 10.0 ,121   ,78.9  , 99.8 ,2.82  ,3.68  ,2.60  ,2.71  ,3.54  ,2.45  , 1.6  , 0.3  ,  3.3 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 66.7 ,12.9  , 53.3 , 10.0 , 90.0 , 90.0 , 90.0 ,.     ,24.3  ,.     , 53.3 ,.     , 90.0 ,15.7  ,15.7  ,.     , 0.00 ,18.14 , 0.00 ,.     ,  0.0 ,  0.0 ,  3.3 ,  0.0 ,  0.0 , 63.3 , 40.0 , 17.6 , 30.0 , 18.1 , 46.7 ,  4.7 ,  6.1 ,552.3 , 57.3 ,  3.2 ,  0.0 ,  2.3 , 21.8 , 28.1 , 17.4 , 63.3 , 63.3 , 46.7 , 3.6  ,13.8  , 83.6 , 16   ,288   , 63.9 , 88.0 ,145.6 , 97.2 ,  0.4 , 13.3 , 43.3 , 53.3 ,  3.3 ,  0.0 ,  0.0 ,  3.3 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,29.6  ,1.09  ,1.36  ,1.05  ,15.7  ,0.99  ,
AA,M,3,.     ,.     ,.     ,.     ,  3.3 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,  5.0 ,  0.0 ,  0.0 ,.     ,.     ,.     ,.     , 70.0 ,.     ,.     ,  6.7 ,.     ,.     ,.     ,.     , 60.0 , 15.0 , 41.6 , 81.7 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  0.0 , 13.3 ,  0.0 ,  0.0 , 13.3 , 78.3 ,  8.3 ,  0.0 , 63.4 ,  0.0 ,  0.0 , 63.4 , 30.0 ,  6.7 , 0.9  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,48.6  ,164   ,57.0  ,21.3  , 16.7 , 16.6 , 45.0 , 23.4 , 15.0 , 20.0 , 18.4 ,  3.4 ,  4.3 , 15.0 , 10.0 ,  8.3 , 0.8  ,  6.7 ,  6.7 ,121   ,78.4  , 99.6 ,2.90  ,3.73  ,2.77  ,2.85  ,3.67  ,2.65  , 1.4  , 0.3  ,  3.3 ,  5.0 ,  5.0 ,  0.0 ,  0.0 , 68.4 ,13.9  , 48.3 ,  8.3 , 85.0 , 85.0 , 85.0 ,.     ,23.9  ,.     , 48.3 ,.     , 85.0 ,17.5  ,17.5  ,.     , 0.12 ,20.35 , 0.12 ,.     ,  1.6 ,  0.0 ,  1.6 ,  1.6 ,  0.0 , 55.0 , 38.4 , 45.4 , 33.4 , 53.6 , 38.4 ,  8.8 , 15.2 ,517.3 , 41.7 ,  1.9 ,  0.0 ,  9.3 , 15.0 , 18.0 , 19.2 , 73.3 , 60.0 , 46.7 , 3.4  ,15.8  , 86.5 , 17   ,296   , 64.8 , 92.0 ,139.2 , 98.2 ,  8.2 ,  8.3 , 40.0 , 46.6 ,  6.7 ,  0.0 ,  0.0 ,  6.7 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,31.7  ,1.11  ,1.39  ,1.05  ,16.2  ,1.01  ,
AA,F,1,.     ,.     ,.     ,.     , 10.0 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,  3.3 ,  0.0 ,  0.0 ,.     ,.     ,.     ,.     , 26.7 ,.     , 96.2 ,  0.0 ,.     ,.     ,.     , 11.5 , 16.7 ,  6.7 , 20.0 , 63.3 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  0.0 , 20.0 ,  0.0 ,  0.0 , 20.0 , 76.7 ,  3.3 ,  3.3 , 76.7 ,  0.0 ,  6.7 , 83.3 , 13.3 ,  0.0 ,.     , 1.5  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,49.2  ,154   ,51.3  ,21.7  ,  6.7 ,  3.3 , 20.0 , 20.0 , 20.0 , 30.0 , 26.7 , 16.7 ,  3.7 , 10.0 ,  6.7 ,  6.7 , 0.5  ,  6.7 ,  3.3 ,127   ,78.5  ,102.6 ,2.23  ,2.80  ,2.36  ,2.18  ,2.76  ,2.31  , 0.9  , 0.9  ,  6.7 , 16.7 ,  3.3 ,  3.3 ,  3.3 , 76.7 ,12.7  , 60.0 , 10.0 ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,  .   ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  3.3 ,  3.3 ,  4.8 ,  3.3 ,  2.4 ,  0.0 ,  0.0 ,  0.6 ,457.4 , 19.9 ,  2.1 ,  0.0 ,  0.0 ,  7.5 , 20.1 , 21.0 , 76.7 , 73.3 , 50.0 , 4.8  ,16.2  , 60.2 , 16   ,320   , 66.5 , 76.0 ,114.0 , 90.4 ,  1.2 ,  0.0 , 16.7 , 16.7 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,16.5  ,29.4  , 4.3  ,50.0  ,23.7  ,3.7   ,0.8   ,2.9   , 1.5  , 1.0  ,   52 ,0.86  ,24.6  ,  9.6 ,100.0 , 3.1  ,10.5  ,  9.6 , 90.4 , 76.6 ,37.9  , 13.5 ,  0.0 ,100.0 ,3.280 , 90.4 , 91.7 , 93.3 , 90.5 , 84.6 , 89.6 , 88.9 , 80.0 ,  0.0 ,  0.0 , 77.5 , 86.5 , 46.2 , 53.8 , 89.3 , 96.0 , 96.2 , 36.5 , 1.7  , 51.9 , 3.7  , 30.8 , 0.9  ,  3.8 ,  1.9 ,  3.8 , 46.2 , 15.4 , 11.5 , 92.3 , 88.5 ,  3.8 ,31.8  ,1.08  ,1.41  ,1.04  ,15.9  ,0.99  ,
AA,F,2,.     ,.     ,.     ,.     , 12.5 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,  0.0 ,  6.3 ,  0.0 ,.     ,.     ,.     ,.     , 18.8 ,.     , 82.0 ,  0.0 ,.     ,.     ,.     , 12.0 , 12.5 ,  6.3 , 21.9 , 53.1 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  0.0 ,  3.1 ,  0.0 ,  0.0 ,  3.1 , 90.6 ,  6.3 ,  6.3 , 31.3 ,  0.0 ,  0.0 , 31.3 , 53.1 ,  9.4 ,.     , 1.5  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,49.4  ,153   ,52.4  ,22.5  , 28.1 ,  6.3 , 68.8 , 15.6 , 37.5 , 25.0 , 25.0 ,  9.4 ,  7.4 ,  3.1 ,  3.1 ,  3.1 , 0.1  , 12.5 ,  3.1 ,120   ,82.1  ,101.1 ,2.15  ,2.68  ,2.26  ,2.09  ,2.59  ,2.17  , 1.2  , 0.4  ,  0.0 ,  9.4 ,  0.0 ,  0.0 ,  0.0 , 81.3 ,14.7  , 59.4 , 15.6 ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,  .   ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,507.4 , 27.5 ,  2.1 ,  0.0 ,  0.5 , 11.7 , 18.2 , 23.5 , 71.9 , 68.8 , 56.3 , 3.6  ,19.9  , 76.6 , 10   ,285   , 62.1 , 82.1 ,127.5 ,151.9 , 22.5 ,  3.1 , 21.9 , 21.9 ,  6.3 ,  0.0 ,  0.0 ,  6.3 ,16.8  ,28.7  , 4.4  ,49.0  ,21.6  ,4.1   ,0.8   ,3.2   , 1.3  , 1.0  ,   50 ,0.92  ,25.1  , 10.0 ,100.0 , 3.5  ,10.3  , 12.0 , 94.0 , 66.0 ,41.3  , 16.0 ,  6.0 ,100.0 ,3.211 , 96.0 ,100.0 , 95.8 , 95.7 ,100.0 , 98.0 , 87.5 , 97.7 ,  0.0 ,  0.0 , 90.7 , 82.0 , 50.0 , 70.0 , 88.6 , 87.1 , 92.0 , 46.0 , 2.6  , 52.0 , 3.7  , 44.0 , 1.3  ,  2.0 ,  2.0 ,  4.0 , 44.0 , 12.0 , 12.0 , 88.0 , 80.0 ,  6.0 ,28.5  ,1.04  ,1.34  ,1.03  ,15.4  ,0.98  ,
AA,F,3,.     ,.     ,.     ,.     , 11.3 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,  1.6 ,  3.1 ,  0.0 ,.     ,.     ,.     ,.     , 22.8 ,.     , 89.1 ,  0.0 ,.     ,.     ,.     , 11.8 , 14.6 ,  6.5 , 20.9 , 58.2 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  0.0 , 11.6 ,  0.0 ,  0.0 , 11.6 , 83.7 ,  4.8 ,  4.8 , 54.0 ,  0.0 ,  3.4 , 57.3 , 33.2 ,  4.7 ,.     , 1.5  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,49.3  ,154   ,51.9  ,22.1  , 17.4 ,  4.8 , 44.4 , 17.8 , 28.8 , 27.5 , 25.9 , 13.1 ,  5.6 ,  6.5 ,  4.9 ,  4.9 , 0.3  ,  9.6 ,  3.2 ,124   ,80.3  ,101.8 ,2.19  ,2.74  ,2.31  ,2.14  ,2.67  ,2.24  , 1.1  , 0.7  ,  3.4 , 13.1 ,  1.6 ,  1.6 ,  1.6 , 79.0 ,13.7  , 59.7 , 12.8 ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,.     ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  1.6 ,  1.6 ,  2.4 ,  1.6 ,  1.2 ,  0.0 ,  0.0 ,  0.3 ,482.4 , 23.7 ,  2.1 ,  0.0 ,  0.3 ,  9.6 , 19.2 , 22.3 , 74.3 , 71.0 , 53.1 , 4.2  ,18.1  , 68.4 , 13   ,303   , 64.3 , 79.0 ,120.8 ,121.2 , 11.8 ,  1.6 , 19.3 , 19.3 ,  3.1 ,  0.0 ,  0.0 ,  3.1 ,16.7  ,29.1  , 4.4  ,49.5  ,22.7  ,3.9   ,0.8   ,3.1   , 1.4  , 1.0  ,   51 ,0.89  ,24.9  ,  9.8 ,100.0 , 3.3  ,10.4  , 10.8 , 92.2 , 71.3 ,39.6  , 14.8 ,  3.0 ,100.0 ,3.245 , 93.2 , 95.9 , 94.5 , 93.1 , 92.3 , 93.8 , 88.2 , 88.9 ,  0.0 ,  0.0 , 84.1 , 84.3 , 48.1 , 61.9 , 89.0 , 91.5 , 94.1 , 41.3 , 2.1  , 52.0 , 3.7  , 37.4 , 1.1  ,  2.9 ,  1.9 ,  3.9 , 45.1 , 13.7 , 11.8 , 90.2 , 84.3 ,  4.9 ,30.2  ,1.06  ,1.38  ,1.04  ,15.7  ,0.98  ,
AA,T,1, 26.05, 13   ,   6.9,2004  ,.     ,.     ,3.8   , 25.0 , 21.8 , 36.7 , 30.0 ,.     ,.     ,.     , 60.0 , 70.0 , 1.2  ,11.0  ,.     , 28.3 ,.     ,.     , 26.7 , 38.3 , 35.0 ,.     ,.     ,.     ,.     ,.     ,1663.0,  0.0 ,  1.9 ,6000  ,3866  ,2354  ,2400  ,3599  , 344  ,  1.6 ,  2.5 ,  3.3 , 80.0 , 93.3 , 70.0 ,100.0 , 96.7 , 96.7 , 56.7 , 83.3 ,  1.7 ,100.0 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     , 50.0 , 250  ,2166  , 0.8  , 0.7  , 97.3 ,0.7   ,0.0   ,0.0   ,0.0   ,0.0   , 0.0  , 0.10 ,  3.4 ,  3.60, 50.8 , 2.0  ,  12.0,13.0  ,17.3  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,2, 13.43,  9   ,   3.9,1492  ,.     ,.     ,4.5   , 29.1 , 19.5 , 43.6 , 53.0 ,.     ,.     ,.     , 60.0 , 70.0 , 1.0  , 6.0  ,.     , 32.7 ,.     ,.     , 18.2 , 45.5 , 36.4 ,.     ,.     ,.     ,.     ,.     ,1120.0,  0.0 ,  1.5 ,5370  ,2983  ,2543  ,2724  ,2646  , 517  ,  2.0 ,  3.3 ,  3.1 ,100.0 , 89.1 , 40.0 ,100.0 , 87.3 , 87.3 , 43.6 ,  0.0 ,  0.0 ,100.0 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     , 33.8 , 113  , 424  , 4.4  , 1.3  , 31.3 ,0.9   ,0.0   ,0.0   ,0.0   ,0.2   , 0.1  , 0.08 , 18.2 ,  4.17, 72.7 , 1.0  ,  20.0,12.0  ,32.0  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,3,  19.7, 11   ,   5.4,1748  ,  7.3 ,  0.0 ,4.2   , 27.1 , 20.7 , 40.2 , 41.5 ,  3.3 ,  1.6 ,  0.0 , 60.0 , 70.0 , 1.1  , 8.5  , 46.4 , 30.5 ,.     ,  3.3 , 22.4 , 41.9 , 35.7 ,.     , 37.3 , 10.8 , 31.3 , 69.9 ,1391.5,  0.0 ,  1.7 ,5685  ,3425  ,2449  ,2562  ,3123  , 431  ,  1.8 ,  2.9 ,  3.2 , 90.0 , 91.2 , 55.0 ,100.0 , 92.0 , 92.0 , 50.2 , 41.6 ,  0.8 ,100.0 ,  0.0 , 12.5 ,  0.0 ,  0.0 , 12.5 , 81.0 ,  6.6 ,  2.4 , 58.7 ,  0.0 ,  1.7 , 60.3 , 31.6 ,  5.7 ,.     ,.     , 41.9 , 182  ,1295  , 2.6  , 1.0  , 64.3 ,0.8   ,0.0   ,0.0   ,0.0   ,0.1   , 0.1  , 0.09 , 10.8 ,  3.89, 61.8 , 1.5  ,  16.0,12.5  ,24.7  ,48.9  ,159   ,54.4  ,21.7  , 17.0 , 10.7 , 44.7 , 20.6 , 21.9 , 23.8 , 22.1 ,  8.2 ,  5.0 , 10.8 ,  7.5 ,  6.6 , 0.6  ,  8.1 ,  4.9 ,122   ,79.3  ,100.7 ,2.54  ,3.23  ,2.54  ,2.49  ,3.17  ,2.45  , 1.2  , 0.5  ,  3.3 ,  9.0 ,  3.3 ,  0.8 ,  0.8 , 73.7 ,13.8  , 54.0 , 10.6 , 42.5 , 42.5 ,.     ,.     ,.     ,.     ,.     ,.     , 42.5 , 8.8  ,.     ,.     , 0.06 ,10.17 ,.     ,.     ,  0.8 ,  0.0 ,  0.8 ,  0.8 ,  0.0 , 28.3 , 20.0 , 23.9 , 17.5 , 27.4 , 19.2 ,  4.4 ,  7.7 ,499.8 , 32.7 ,  2.0 ,  0.0 ,  4.8 , 12.3 , 18.6 , 20.7 , 73.8 , 65.5 , 49.9 , 3.8  ,16.9  , 77.5 , 15   ,299   , 64.5 , 85.5 ,130.0 ,109.7 , 10.0 ,  4.9 , 29.7 , 33.0 ,  4.9 ,  0.0 ,  0.0 ,  4.9 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,30.9  ,1.09  ,1.38  ,1.04  ,15.9  ,1.00  ,
AB,M,1,.     ,.     ,.     ,.     ,  3.3 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,  0.0 ,  3.3 ,  0.0 ,.     ,.     ,.     ,.     , 36.7 ,.     ,.     ,  0.0 ,.     ,.     ,.     ,.     , 26.7 , 20.0 , 40.0 , 80.0 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,100.0 ,  0.0 ,  0.0 ,  3.3 ,  0.0 ,  0.0 ,  3.3 , 96.7 ,  0.0 , 0.8  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,50.2  ,162   ,54.6  ,20.8  , 16.7 ,  6.7 , 76.7 , 10.0 , 20.0 ,  3.3 , 16.7 , 13.3 ,  0.0 , 26.7 ,  6.7 , 13.3 , 2.9  ,  6.7 ,  6.7 ,114   ,72.5  , 93.3 ,2.61  ,3.60  ,2.51  ,2.41  ,3.39  ,2.26  , 1.9  , 0.2  ,  6.7 , 16.7 ,  3.3 , 10.0 ,  3.3 , 83.3 ,13.7  , 56.7 , 10.0 , 90.0 , 86.7 , 86.7 ,.     ,22.0  ,.     , 60.0 ,.     , 90.0 ,14.6  ,14.6  ,.     , 0.00 ,16.82 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 53.3 ,  6.7 , 11.9 , 33.3 , 58.3 , 33.3 , 24.3 , 21.6 ,650.9 ,  8.6 ,  0.0 ,  0.0 ,  0.0 ,  8.7 ,  7.2 , 18.1 , 43.3 , 48.3 , 30.0 , 1.6  ,16.5  , 62.7 , 60   ,259   , 38.3 ,103.6 , 41.2 ,135.6 ,  0.0 ,  0.0 , 50.0 , 50.0 , 36.7 ,  0.0 ,  0.0 , 36.7 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,26.8  ,1.03  ,1.32  ,1.04  ,15.1  ,0.96  ,
