County, Sex, Xiang, P004, P005, P006, P008, P009, P012, P014, P015, P016, P017, P035, P036, P037, P044, P045, P046, P047, P048, 
AC,M,1,129.5 ,56.3  ,4.8   ,2.93  , 9.0  ,48.2  ,601   ,314   , 0.32 , 41.0 ,256   , 77.5 ,14.6  , 83.9 ,173   ,.     , 79.3 ,.     ,
AC,M,2,138.7 ,58.7  ,4.4   ,3.23  , 8.2  ,45.6  ,613   ,205   , 0.00 , 35.2 ,281   , 77.7 ,14.3  , 63.6 ,157   ,.     , 61.9 ,.     ,
AC,M,3,134.1 ,57.5  ,4.6   ,3.08  , 8.6  ,46.9  ,607   ,260   , 0.16 , 38.1 ,269   , 77.6 ,14.5  , 73.8 ,165   ,.     , 70.6 ,.     ,
AC,F,1,134.3 ,57.2  ,4.7   ,4.02  ,10.8  ,42.6  ,692   ,300   , 1.25 , 42.9 ,303   , 85.8 ,16.2  , 70.4 ,.     ,  3   ,.     ,  0.0 ,
AC,F,2,142.3 ,55.4  ,4.6   ,3.63  , 9.2  ,41.5  ,585   ,299   , 0.25 , 40.5 ,288   , 89.0 ,14.0  , 68.0 ,.     ,  5   ,.     ,  4.3 ,
AC,F,3,138.3 ,56.3  ,4.7   ,3.82  ,10.0  ,42.1  ,639   ,300   , 0.75 , 41.7 ,296   , 87.4 ,15.1  , 69.2 ,.     ,  4   ,.     ,  2.1 ,
AC,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,T,3,136.2 ,56.9  ,4.6   ,3.45  , 9.3  ,44.5  ,623   ,280   , 0.46 , 39.9 ,282   , 82.5 ,14.8  , 71.5 ,.     ,.     ,.     ,.     ,
BA,M,1,122.0 ,61.9  ,4.8   ,3.26  , 5.8  ,49.9  ,744   ,229   , 1.05 , 43.6 ,276   , 95.5 ,16.0  , 70.0 ,172   ,.     , 70.4 ,.     ,
BA,M,2,122.0 ,63.0  ,4.7   ,0.00  , 4.6  ,47.3  ,713   ,182   , 0.00 , 40.6 ,303   ,116.2 ,17.9  , 68.0 ,151   ,.     , 76.0 ,.     ,
BA,M,3,122.0 ,62.5  ,4.8   ,1.63  , 5.2  ,48.6  ,729   ,206   , 0.53 , 42.1 ,290   ,105.9 ,16.9  , 69.0 ,162   ,.     , 73.2 ,.     ,
BA,F,1,125.1 ,64.6  ,4.7   ,3.71  , 7.6  ,34.7  ,738   ,171   , 1.21 , 43.1 ,306   ,102.3 ,11.8  , 72.4 ,.     , 11   ,.     ,  3.4 ,
BA,F,2,117.7 ,61.7  ,4.4   ,1.60  , 7.2  ,31.9  ,602   ,155   , 0.95 , 41.8 ,270   , 84.5 ,11.2  , 75.8 ,.     ,  3   ,.     ,  0.0 ,
BA,F,3,121.4 ,63.1  ,4.6   ,2.66  , 7.4  ,33.3  ,670   ,163   , 1.08 , 42.5 ,288   , 93.4 ,11.5  , 74.1 ,.     ,  7   ,.     ,  1.7 ,
BA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
