County, Sex, Xiang, Q005, Q006, Q012, Q013, Q014, Q019, Q022, Q027, Q028, Q029, Q030, Q053, Q054, Q055, Q056, Q057, Q058, Q059, Q060, Q061, Q062, Q063, Q064, Q065, Q066, Q067, Q068, Q069, Q089, Q090, Q091, Q092, Q099, Q100, Q101, Q102, Q103, Q104, Q105, Q106, Q107, Q108, Q109, Q110, Q111, Q112, Q113, Q114, Q115, Q116, Q117, Q118, Q128, Q129, Q130, Q131, Q132, Q133, Q134, Q135, Q136, Q137, Q138, Q139, Q140, Q141, Q142, Q143, Q144, Q145, Q146, Q147, Q148, Q157, Q158, Q159, Q160, Q161, Q162, Q163, Q164, Q166, Q167, Q168, Q169, Q170, Q171, Q172, Q173, Q174, Q175, Q176, Q177, Q178, Q179, Q180, Q181, Q182, Q183, Q184, Q185, Q186, Q187, Q188, Q190, Q191, Q192, 
AC,M,1,  0.0 ,  0.0 ,  4.2 ,  0.0 ,  4.2 , 41.7 ,  4.2 , 29.2 , 12.5 , 41.7 , 58.3 ,  0.0 , 12.5 ,  0.0 ,  0.0 , 12.5 , 87.5 ,  0.0 , 41.7 , 37.5 ,  0.0 ,  0.0 , 37.5 , 20.8 ,  0.0 , 1.0  ,.     ,.     ,54.4  ,160   ,54.3  ,21.3  , 16.7 ,  8.3 ,  4.5 , 16.7 ,  4.2 , 16.7 , 1.1  ,  4.2 ,  0.0 ,122   ,81.3  ,101.8 ,2.57  ,3.50  ,2.68  ,2.44  ,3.33  ,2.56  , 1.5  , 0.0  , 83.3 , 79.2 , 79.2 ,.     ,26.0  ,.     , 45.8 ,.     , 83.3 ,12.7  ,12.7  ,.     , 0.00 ,14.70 , 0.00 ,.     ,  4.2 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,529.5 , 20.1 ,  4.3 ,  0.0 ,  0.0 ,  7.9 ,  5.5 , 23.8 , 62.5 , 50.0 , 1.6  ,22.2  , 98.0 , 18   ,338   ,107.3 , 62.0 ,200.0 , 99.5 ,  5.0 ,  0.0 , 50.0 ,  0.0 , 62.5 ,  0.0 ,  0.0 , 62.5 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,M,2,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 46.7 ,  0.0 , 23.3 , 10.0 , 40.0 , 76.7 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,100.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,100.0 ,  0.0 , 1.0  ,.     ,.     ,51.7  ,166   ,58.4  ,21.2  ,  6.7 ,  6.7 ,  6.7 ,  6.7 ,  6.7 ,  6.7 , 1.2  , 10.0 ,  0.0 ,122   ,79.9  ,101.0 ,2.50  ,3.33  ,2.55  ,2.57  ,3.42  ,2.61  , 1.1  , 0.2  , 83.3 , 76.7 , 76.7 ,.     ,21.0  ,.     , 57.1 ,.     , 76.7 ,11.5  ,11.5  ,.     , 0.00 ,13.30 , 0.00 ,.     ,  0.0 ,  0.0 ,  3.3 ,  0.0 ,  0.0 ,579.2 ,  3.9 ,  0.0 ,  0.0 ,  0.0 ,  0.5 ,  2.7 , 18.3 , 46.7 , 36.7 , 0.8  ,17.5  , 82.5 , 24   ,264   , 50.2 , 75.2 ,124.4 , 72.4 ,  0.0 ,  0.0 , 58.3 ,  0.0 , 60.7 ,  0.0 ,  0.0 , 60.7 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,M,3,  0.0 ,  0.0 ,  2.1 ,  0.0 ,  2.1 , 44.2 ,  2.1 , 26.3 , 11.3 , 40.9 , 67.5 ,  0.0 ,  6.3 ,  0.0 ,  0.0 ,  6.3 , 93.8 ,  0.0 , 20.9 , 18.8 ,  0.0 ,  0.0 , 18.8 , 60.4 ,  0.0 , 1.0  ,.     ,.     ,53.1  ,163   ,56.4  ,21.3  , 11.7 ,  7.5 ,  5.6 , 11.7 ,  5.5 , 11.7 , 1.2  ,  7.1 ,  0.0 ,122   ,80.6  ,101.4 ,2.54  ,3.42  ,2.62  ,2.50  ,3.38  ,2.58  , 1.3  , 0.1  , 83.3 , 78.0 , 78.0 ,.     ,23.5  ,.     , 51.5 ,.     , 80.0 ,12.1  ,12.1  ,.     , 0.00 ,14.00 , 0.00 ,.     ,  2.1 ,  0.0 ,  1.6 ,  0.0 ,  0.0 ,554.4 , 12.0 ,  2.1 ,  0.0 ,  0.0 ,  4.2 ,  4.1 , 21.1 , 54.6 , 43.4 , 1.2  ,19.9  , 90.3 , 21   ,301   , 78.8 , 68.6 ,162.2 , 86.0 ,  2.5 ,  0.0 , 54.1 ,  0.0 , 61.6 ,  0.0 ,  0.0 , 61.6 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,F,1,  4.0 ,  0.0 ,  4.0 ,  8.0 ,  0.0 , 20.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 48.0 ,  0.0 , 16.0 ,  0.0 ,  0.0 , 16.0 , 84.0 ,  0.0 , 44.0 , 44.0 ,  0.0 ,  0.0 , 44.0 ,  8.0 ,  4.0 ,.     , 1.7  ,.     ,52.9  ,154   ,50.2  ,21.1  , 36.0 , 24.0 , 13.6 ,  4.0 ,  4.0 ,  4.0 , 0.5  ,  8.0 ,  8.0 ,122   ,79.7  ,101.0 ,1.89  ,2.51  ,1.83  ,1.84  ,2.46  ,1.79  , 1.3  , 0.2  ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,  .   ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,503.6 ,  4.9 ,  2.1 ,  0.0 ,  0.0 ,  5.9 ,  8.1 , 19.6 , 60.0 , 48.0 , 1.6  ,18.0  , 61.3 , 60   ,308   , 70.0 , 53.2 ,156.0 , 70.6 ,  0.0 ,  0.0 , 37.5 ,  0.0 , 41.7 ,  0.0 ,  0.0 , 41.7 ,17.1  ,27.5  , 3.9  ,50.0  ,3.5   ,0.4   ,2.9   ,
AC,F,2,  3.2 ,  0.0 ,  0.0 ,  9.7 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  9.7 , 48.4 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,100.0 ,  0.0 ,  3.2 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 93.5 ,  3.2 ,.     , 1.9  ,.     ,53.4  ,152   ,50.3  ,21.7  , 12.9 ,  6.5 ,  3.4 ,  3.2 ,  3.2 ,  3.2 , 0.6  ,  3.2 ,  3.2 ,124   ,78.1  ,101.0 ,1.85  ,2.35  ,1.77  ,1.78  ,2.27  ,1.68  , 1.4  , 0.1  ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,  .   ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,468.4 ,  0.3 ,  0.3 ,  0.0 ,  0.0 ,  1.1 ,  0.9 , 18.3 , 45.2 , 41.9 , 0.7  ,17.6  , 47.1 , 65   ,271   , 47.2 , 52.6 , 67.7 , 98.7 ,  0.0 ,  0.0 , 20.0 ,  0.0 , 30.0 ,  0.0 ,  0.0 , 30.0 ,16.8  ,28.7  , 3.9  ,49.0  ,3.7   ,0.7   ,3.1   ,
AC,F,3,  3.6 ,  0.0 ,  2.0 ,  8.8 ,  0.0 , 10.0 ,  0.0 ,  0.0 ,  0.0 ,  4.8 , 48.2 ,  0.0 ,  8.0 ,  0.0 ,  0.0 ,  8.0 , 92.0 ,  0.0 , 23.6 , 22.0 ,  0.0 ,  0.0 , 22.0 , 50.8 ,  3.6 ,.     , 1.8  ,.     ,53.1  ,153   ,50.3  ,21.4  , 24.4 , 15.3 ,  8.5 ,  3.6 ,  3.6 ,  3.6 , 0.6  ,  5.6 ,  5.6 ,123   ,78.9  ,101.0 ,1.87  ,2.43  ,1.80  ,1.81  ,2.37  ,1.74  , 1.4  , 0.2  ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,.     ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,486.0 ,  2.6 ,  1.2 ,  0.0 ,  0.0 ,  3.5 ,  4.5 , 19.0 , 52.6 , 45.0 , 1.2  ,17.8  , 54.2 , 63   ,290   , 58.6 , 52.9 ,111.9 , 84.7 ,  0.0 ,  0.0 , 28.8 ,  0.0 , 35.9 ,  0.0 ,  0.0 , 35.9 ,17.0  ,28.1  , 3.9  ,49.5  ,3.6   ,0.6   ,3.0   ,
AC,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     , 65.3 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  1.6 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,T,3,  1.8 ,  0.0 ,  2.1 ,  4.4 ,  1.1 , 27.1 ,  1.1 , 13.1 ,  5.6 , 22.9 , 57.9 ,  0.0 ,  7.1 ,  0.0 ,  0.0 ,  7.1 , 92.9 ,  0.0 , 22.2 , 20.4 ,  0.0 ,  0.0 , 20.4 , 55.6 ,  1.8 ,.     ,.     , 33.4 ,53.1  ,158   ,53.3  ,21.3  , 18.1 , 11.4 ,  7.1 ,  7.6 ,  4.5 ,  7.6 , 0.9  ,  6.4 ,  2.8 ,123   ,79.8  ,101.2 ,2.20  ,2.92  ,2.21  ,2.16  ,2.87  ,2.16  , 1.3  , 0.1  , 41.6 , 39.0 ,.     ,.     ,.     ,.     ,.     ,.     , 40.0 , 6.0  ,.     ,.     , 0.00 , 7.00 ,.     ,.     ,  1.1 ,  0.0 ,  0.8 ,  0.0 ,  0.0 ,520.2 ,  7.3 ,  1.7 ,  0.0 ,  0.0 ,  3.9 ,  4.3 , 20.0 , 53.6 , 44.2 , 1.2  ,18.8  , 72.2 , 42   ,295   , 68.7 , 60.8 ,137.0 , 85.3 ,  1.3 ,  0.0 , 41.5 ,  0.0 , 48.7 ,  0.0 ,  0.0 , 48.7 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,M,1,  3.2 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 45.2 ,  6.5 , 32.3 , 12.9 , 22.6 , 87.1 ,  0.0 ,  3.2 ,  9.7 , 77.4 , 90.3 ,  9.7 ,  0.0 ,  3.2 , 67.7 ,  9.7 , 19.4 , 96.8 ,  0.0 ,  0.0 , 0.3  ,.     ,.     ,49.6  ,166   ,60.5  ,22.0  ,  9.7 ,  9.7 ,  0.0 , 25.8 , 12.9 , 25.8 , 2.9  ,  9.7 ,  6.5 ,126   ,86.5  ,106.0 ,2.67  ,3.43  ,2.76  ,2.68  ,3.44  ,2.77  , 0.8  , 0.3  , 71.0 , 64.5 , 64.5 ,.     ,21.5  ,.     , 51.6 ,.     , 71.0 ,13.5  ,13.5  ,.     , 0.00 ,15.64 , 0.00 ,.     ,  0.0 ,  3.2 ,  0.0 ,  0.0 ,  0.0 , 45.2 ,423.5 , 71.1 ,  0.0 , 23.2 ,  7.6 , 28.1 , 15.3 ,  0.0 ,  0.0 , 1.1  ,14.2  , 54.2 , 24   ,217   , 20.9 ,  5.8 , 80.5 , 76.3 ,  0.0 , 56.5 ,  0.0 , 56.5 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
