County, Sex, Xiang, M001, M002, M003, M004, M005, M006, M007, M008, M009, M010, M011, M012, M013, M014, M015, M016, M017, M018, M019, M020, M021, M022, M023, M024, M025, M026, M027, M028, M029, M030, M031, M032, M033, M034, M035, M036, M037, M038, M040, M041, M042, M043, M044, M045, M046, M047, M048, M049, M050, M051, M052, M053, M054, M055, M056, M057, M058, M059, M060, M061, M062, M063, M064, M065, M066, M067, M068, M069, M070, M071, M072, M073, M074, M075, M076, M077, M078, M079, M080, M081, M082, M083, M084, M085, M086, M087, M088, M089, M090, M091, M092, M093, M094, M095, M096, M097, M098, M099, M100, M101, M102, M103, M104, M105, M106, M107, M108, M109, M110, M111, M112, M113, M114, M115, M116, M117, M118, M119, 
ZA,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,M,3,  1.47, 32.93,126.73,102.77,  9.70, 50.75, 45.37,  8.66, 57.40,104.47,  1.98, 34.93,  0.62,  0.75,  0.28, 21.89,  0.09,  0.85,  0.03,  0.54,  0.00, 10.10,  2.84,  5.93, 17.27, 13.13, 11.72, 33.54, 21.18,  2.72, 75.25,  9.46,  4.05,  2.69, 58.32,.     ,.     ,.     ,  7.20,  2.15,  6.56,  0.48, 34.65, 32.47,  0.11,  0.47,  0.40,  1.98,  0.28,  3.33,  3.19,  6.06,  0.40,  1.46,  0.59,  0.75,  5.57,  2.90,  0.14,  2.68, 29.74, 58.54,  2.06,149.00,  3.51,141.21,  3.09, 51.08,  2.48, 17.53, 26.83,  3.66, 85.16,  6.69,  0.10,  1.13,  2.98, 62.11,  5.71,137.37,  2.36, 23.18, 23.18,.     , 21.43,.     ,.     ,  1.57,  1.79,  4.29, 32.51, 49.80, 86.07, 24.16, 45.11,  8.67,  7.19,  4.39, 14.05,  3.06,  3.89,  5.40,.     ,  7.33,  5.57,  1.76,  0.50,  0.21,  2.05,  0.18,  1.33,  1.01,  0.43,  0.06,  0.12,  0.00,  0.01,  0.24,
ZA,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,F,3,  1.28, 20.17, 56.51, 56.34,  6.23, 42.35, 35.02,  5.78, 21.32, 45.56,  1.75, 14.79,  0.33,  0.25,  0.35,  6.87,  0.07,  0.86,  0.02,  0.21,  0.00,  7.68,  1.94,  0.65,  5.09,  4.61,  1.53, 17.44, 17.44,  0.58, 21.20,  5.53,  2.07,  0.43,.     , 35.89, 19.63, 25.44,  5.03,  1.86,  4.85,  0.59, 52.19, 50.79,  0.00,  0.41,  0.46,  1.02,  0.18,  0.51,  2.40,  5.07,  0.52,  0.85,  0.48,  0.37,  3.11,  1.89,  0.31,  3.56, 20.56, 31.23,  1.35,104.63,  1.77, 84.86,  2.92, 26.64,  2.14,  9.61, 15.56,  1.12, 37.90,  3.14,  0.11,  0.67,  0.81, 25.64,  1.39, 46.84,  2.44, 24.37,.     , 24.37, 23.22,  0.37,  0.06,  1.90,  1.97,  2.94, 15.68, 16.81, 35.14,  7.37, 20.78,  1.59,  3.14,  3.11,  8.68,  1.15,  1.67,  5.01,  0.12,  6.40,  5.08,  1.32,  0.52,  0.11,  1.83,  0.15,  1.05,  0.95,  0.45,  0.06,  0.14,  0.00,  0.00,  0.11,
ZA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,T,3,  1.38, 26.55, 91.62, 79.56,  7.96, 46.55, 40.20,  7.22, 39.36, 75.02,  1.86, 24.86,  0.48,  0.50,  0.32, 14.38,  0.08,  0.85,  0.03,  0.38,  0.00,  8.89,  2.39,  3.29, 11.18,  8.87,  6.63, 25.49, 19.31,  1.65, 48.23,  7.50,  3.06,  1.56,.     ,.     ,.     ,.     ,  6.12,  2.00,  5.71,  0.54, 43.42, 41.63,  0.06,  0.44,  0.43,  1.50,  0.23,  1.92,  2.79,  5.57,  0.46,  1.16,  0.54,  0.56,  4.34,  2.40,  0.23,  3.12, 25.15, 44.88,  1.71,126.81,  2.64,113.04,  3.00, 38.86,  2.31, 13.57, 21.20,  2.39, 61.53,  4.92,  0.11,  0.90,  1.90, 43.88,  3.55, 92.11,  2.40, 23.78,.     ,.     , 22.32,.     ,.     ,  1.74,  1.88,  3.62, 24.09, 33.30, 60.60, 15.77, 32.95,  5.13,  5.17,  3.75, 11.37,  2.10,  2.78,  5.21,.     ,  6.87,  5.33,  1.54,  0.51,  0.16,  1.94,  0.17,  1.19,  0.98,  0.44,  0.06,  0.13,  0.00,  0.01,  0.17,
ZB,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
