County, Sex, Xiang, P001, P002, P003, P004, P005, P006, P007, P008, P009, P010, P011, P012, P013, P014, P015, P016, P017, P018, P019, P020, P021, P022, P023, P024, P025, P026, P027, P028, P029, P030, P031, P032, P034, P036, P037, P038, P039, P040, P041, P042, P044, P045, P046, P047, P048, R002, R003, R004, R005, R006, R007, R008, R009, R010, R011, R012, R013, R014, R015, R016, R017, R018, R019, R020, R021, R022, R023, R024, R025, R026, U001, U002, U003, U004, U005, U006, U007, U008, U009, U010, U011, U012, U013, U015, U016, U017, U018, U019, U020, U021, U022, U023, U024, U025, U026, U027, U028, U029, U030, 
ZA,M,1,193   ,44.6  ,148.4 ,121.5 ,79.5  ,4.5   ,8.23  , 2.70 , 11.5 , 3.60 , 4.50 ,40.6  ,5.29  , 415  ,129   , 4.80 , 23.4 , 3.60 , 2.70 , 8.30 , 0.00 , 2.60 , 3.70 , 8.8  ,0.54  ,34.05 ,0.096 ,15.6  ,2.87  ,13.6  ,0.129 ,0.279 ,470   , 65.3 ,15.7  ,4.0   , 7.2  ,2.12  , 6.57 ,  3   , 82.8 ,142   ,.     , 53.8 ,.     ,1.00  ,48.9  , 15.6 ,31.2  , 4.36 ,35.6  , 0.73 ,0.19  ,18.7  ,17.7  ,0.24  ,0.94  ,11.19 ,0.17  ,12.0  ,0.33  , 0.00 , 3.10 ,0.23  ,1.00  , 3.13 ,12.60 ,0.46  ,1.60  ,16.5  , 3.7  ,0.82  , 2.5  ,0.10  ,0.44  , 7.4  ,0.25  ,531   ,0.13  , 5.68 ,1.24  , 687  , 753  , 0.04 , 0.05 , 4.16 , 1.00 , 0.23 , 0.20 ,  6.12, 19.92,0.10  , 3.16 , 10.55, 21.16, 0.04 , 2.58 , 0.21 , 13.02,
ZA,M,2,191   ,50.8  ,140.2 ,127.2 ,88.2  ,4.4   ,8.60  , 2.83 , 15.0 , 4.20 , 6.90 ,39.9  ,4.69  , 509  ,162   , 7.20 , 22.3 , 3.40 , 2.30 ,14.60 , 2.10 , 4.90 , 4.70 , 9.2  ,0.63  ,27.00 ,0.114 ,15.0  ,3.73  ,15.5  ,0.114 ,0.265 ,461   ,101.3 ,17.7  ,3.9   , 7.4  ,2.01  , 6.70 , 10   , 73.3 ,126   ,.     , 45.8 ,.     ,1.30  ,47.9  , 16.7 ,28.5  , 6.86 ,35.4  , 0.74 ,0.23  ,18.1  ,16.1  ,0.35  ,1.90  ,11.23 ,0.20  ,10.8  ,0.24  , 0.22 , 5.20 ,0.13  ,1.28  , 5.45 ,10.81 ,0.36  ,1.47  ,15.9  , 3.7  ,1.04  , 3.0  ,0.12  ,0.62  , 7.8  ,0.51  ,394   ,0.13  , 0.00 ,1.67  , 707  , 665  , 0.08 , 0.21 , 2.78 , 1.36 , 1.08 , 4.06 , 13.09,  8.77,0.10  , 1.42 , 17.04, 14.40, 0.15 , 2.07 , 2.57 , 10.93,
ZA,M,3,192   ,47.7  ,144.3 ,124.4 ,83.9  ,4.5   ,8.42  , 2.77 , 13.3 , 3.90 , 5.70 ,40.3  ,4.99  , 462  ,146   , 6.00 , 22.9 , 3.50 , 2.50 ,11.45 , 1.05 , 3.75 , 4.20 , 9.0  ,0.59  ,30.52 ,0.105 ,15.3  ,3.30  ,14.6  ,0.122 ,0.272 ,466   , 83.3 ,16.7  ,4.0   , 7.3  ,2.06  , 6.64 ,  7   , 78.0 ,134   ,.     , 49.8 ,.     ,1.15  ,48.4  , 16.1 ,29.9  , 5.61 ,35.5  , 0.73 ,0.21  ,18.4  ,16.9  ,0.29  ,1.42  ,11.21 ,0.19  ,11.4  ,0.29  , 0.11 , 4.15 ,0.18  ,1.14  , 4.29 ,11.71 ,0.41  ,1.54  ,16.2  , 3.7  ,0.93  , 2.8  ,0.11  ,0.53  , 7.6  ,0.38  ,463   ,0.13  , 2.84 ,1.46  , 697  , 709  , 0.06 , 0.13 , 3.47 , 1.18 , 0.66 , 2.13 ,  9.61, 14.35,0.10  , 2.29 , 13.79, 17.78, 0.10 , 2.33 , 1.39 , 11.97,
ZA,F,1,209   ,46.7  ,162.3 ,135.0 ,87.0  ,4.3   ,8.73  , 6.58 , 32.7 , 9.60 , 8.90 ,62.1  ,3.82  , 960  ,351   , 5.90 , 53.8 , 5.30 , 4.40 ,20.00 , 3.20 , 7.90 , 5.20 ,12.8  ,0.60  ,30.61 ,0.117 ,16.6  ,3.37  ,12.9  ,0.124 ,0.296 ,575   , 69.7 ,15.0  ,3.7   , 7.3  ,1.76  ,.     , 17   , 82.1 ,.     , 17   ,.     ,  7.4 ,1.07  ,47.1  , 16.0 ,30.7  , 6.22 ,36.9  , 0.78 ,0.13  ,16.5  ,16.7  ,0.30  ,1.52  ,11.92 ,0.13  ,10.9  ,0.36  , 0.00 , 4.54 ,0.20  ,1.04  , 4.98 ,11.76 ,0.48  ,1.50  ,17.0  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,F,2,198   ,55.3  ,142.7 ,144.8 ,75.4  ,4.5   ,8.23  , 4.67 , 23.6 , 5.70 , 7.10 ,53.0  ,4.05  , 589  , 97   , 5.10 , 44.6 , 4.20 , 2.80 , 5.80 , 3.30 , 3.60 , 3.80 ,13.2  ,0.86  ,29.66 ,0.113 ,14.9  ,3.67  ,14.4  ,0.119 ,0.237 ,442   ,100.7 ,17.7  ,3.5   , 7.6  ,1.42  ,.     , 17   , 75.9 ,.     ,  3   ,.     ,  0.0 ,1.20  ,50.2  , 15.1 ,28.4  , 6.33 ,34.7  , 0.69 ,0.18  ,20.6  ,16.4  ,0.35  ,1.38  ,11.31 ,0.17  ,10.8  ,0.22  , 0.00 , 3.90 ,0.89  ,1.39  , 4.04 ,10.93 ,0.38  ,1.43  ,15.6  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,F,3,204   ,51.0  ,152.5 ,139.9 ,81.2  ,4.4   ,8.48  , 5.63 , 28.2 , 7.65 , 8.00 ,57.6  ,3.94  , 775  ,224   , 5.50 , 49.2 , 4.75 , 3.60 ,12.90 , 3.25 , 5.75 , 4.50 ,13.0  ,0.73  ,30.14 ,0.115 ,15.8  ,3.52  ,13.7  ,0.121 ,0.267 ,509   , 85.2 ,16.4  ,3.6   , 7.5  ,1.59  ,.     , 17   , 79.0 ,.     , 10   ,.     ,  3.7 ,1.14  ,48.7  , 15.6 ,29.6  , 6.28 ,35.8  , 0.73 ,0.15  ,18.6  ,16.6  ,0.33  ,1.45  ,11.62 ,0.15  ,10.9  ,0.29  , 0.00 , 4.22 ,0.55  ,1.22  , 4.51 ,11.35 ,0.43  ,1.47  ,16.3  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,T,3,198   ,49.4  ,148.4 ,132.1 ,82.5  ,4.4   ,8.45  , 4.20 , 20.7 , 5.78 , 6.85 ,48.9  ,4.46  , 618  ,185   , 5.75 , 36.0 , 4.13 , 3.05 ,12.18 , 2.15 , 4.75 , 4.35 ,11.0  ,0.66  ,30.33 ,0.110 ,15.5  ,3.41  ,14.1  ,0.122 ,0.269 ,487   , 84.3 ,16.5  ,3.8   , 7.4  ,1.83  ,.     , 12   , 78.5 ,.     ,.     ,.     ,.     ,1.14  ,48.5  , 15.8 ,29.7  , 5.94 ,35.7  , 0.73 ,0.18  ,18.5  ,16.7  ,0.31  ,1.44  ,11.41 ,0.17  ,11.1  ,0.29  , 0.06 , 4.19 ,0.36  ,1.18  , 4.40 ,11.53 ,0.42  ,1.50  ,16.3  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZB,M,1,183   ,45.3  ,137.7 ,127.7 ,75.6  ,4.7   ,8.63  , 1.70 , 12.8 , 5.80 , 6.50 ,41.7  ,5.28  , 464  ,140   , 4.70 , 23.8 , 9.80 , 3.50 ,12.30 , 0.00 , 5.20 , 7.00 , 8.5  ,0.96  ,29.55 ,0.095 ,15.9  ,3.47  ,12.7  ,0.113 ,0.302 ,495   , 95.7 ,20.3  ,3.8   , 7.9  ,1.96  , 7.00 , 10   , 79.3 ,146   ,.     , 55.6 ,.     ,1.10  ,47.0  , 16.2 ,30.1  , 6.72 ,36.8  , 0.78 ,0.11  ,17.3  ,16.0  ,0.42  ,1.94  ,11.29 ,0.23  ,10.7  ,0.29  , 0.00 , 4.98 ,0.00  ,1.04  , 5.68 ,11.88 ,0.44  ,1.42  ,16.3  , 3.7  ,1.05  , 2.7  ,0.11  ,0.49  , 7.7  ,0.27  ,655   ,0.17  ,11.23 ,1.48  , 837  , 754  , 0.13 , 0.47 , 3.72 , 1.29 , 1.61 , 1.38 , 12.28,  7.16,0.15  , 2.43 , 17.74, 10.30, 0.30 , 2.51 , 1.49 ,  9.72,
