County, Sex, Xiang, Q005, Q006, Q007, Q008, Q010, Q012, Q013, Q014, Q019, Q020, Q022, Q023, Q024, Q025, Q027, Q030, Q043, Q044, Q045, Q049, Q050, Q051, Q052, Q053, Q054, Q055, Q056, Q057, Q058, Q059, Q060, Q061, Q062, Q063, Q064, Q065, Q066, Q067, Q068, Q069, Q089, Q090, Q091, Q092, Q093, Q094, Q095, Q096, Q097, Q098, Q099, Q100, Q101, Q102, Q103, Q104, Q105, Q106, Q107, Q108, Q109, Q110, Q111, Q112, Q113, Q114, Q115, Q116, Q117, Q118, Q119, Q120, Q121, Q122, Q123, Q128, Q129, Q130, Q131, Q132, Q133, Q134, Q135, Q136, Q137, Q138, Q139, Q140, Q141, Q142, Q143, Q144, Q145, Q147, Q166, Q167, Q170, Q171, Q172, Q173, Q174, Q175, Q176, Q177, Q178, Q179, Q180, Q181, Q182, Q184, Q185, Q186, Q187, Q188, Q189, Q190, Q191, Q192, 
ZA,M,1, 65.6 ,  6.3 ,.     ,.     ,.     , 57.6 ,  0.0 ,  0.0 , 97.0 ,.     , 43.8 ,.     ,.     ,.     , 93.9 ,100.0 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  9.1 , 21.2 ,  0.0 , 21.2 , 42.4 , 54.5 , 12.1 , 93.9 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 12.1 , 1.3  ,.     ,.     ,49.0  ,167   ,67.9  ,24.3  , 12.1 ,  6.1 ,  0.0 ,  6.1 ,  6.1 ,  3.0 , 36.4 ,  9.1 ,  3.0 , 36.4 , 24.2 ,  9.1 , 5.0  , 12.1 ,  6.1 ,120   ,79.8  ,100.1 ,2.77  ,3.49  ,2.71  ,2.86  ,3.61  ,2.84  , 2.6  , 0.3  ,  6.1 , 36.4 ,  3.0 , 18.2 ,  0.0 , 66.7 , 57.6 , 57.6 ,.     ,22.9  ,.     , 42.4 ,.     , 66.7 ,12.7  ,12.7  ,.     , 0.00 ,14.69 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 , 45.5 , 21.2 , 62.2 , 25   ,270   ,172.9 ,226.6 ,140.0 , 89.7 ,142.6 , 21.2 , 24.2 , 30.3 , 24.2 , 63.6 , 78.8 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,M,2, 62.5 ,  0.0 ,.     ,.     ,.     , 22.6 ,  0.0 ,  0.0 , 96.8 ,.     , 36.4 ,.     ,.     ,.     , 83.9 , 93.5 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  3.2 , 19.4 ,  0.0 ,  0.0 , 19.4 , 90.3 ,  9.7 , 96.8 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  3.2 ,  0.0 , 1.8  ,.     ,.     ,50.1  ,168   ,63.0  ,22.3  , 22.6 ,  6.5 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 22.6 , 12.9 ,  3.2 , 16.1 , 12.9 ,  9.7 ,16.7  ,  0.0 ,  0.0 ,118   ,71.7  , 94.8 ,2.60  ,3.06  ,2.71  ,2.68  ,3.13  ,2.77  , 5.0  , 0.2  , 12.9 , 29.0 ,  0.0 , 16.1 ,  0.0 , 67.7 , 51.6 , 51.6 ,.     ,22.7  ,.     , 35.5 ,.     , 67.7 ,14.0  ,14.0  ,.     , 0.00 ,16.20 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 , 25.8 , 16.1 , 75.5 , 52   ,308   ,311.4 ,285.0 ,107.7 , 83.1 ,198.9 , 12.9 , 19.4 , 19.4 , 45.2 , 64.5 , 80.6 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,M,3, 64.0 ,  3.1 ,.     ,.     ,.     , 40.1 ,  0.0 ,  0.0 , 96.9 ,.     , 40.1 ,.     ,.     ,.     , 88.9 , 96.8 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  6.2 , 20.3 ,  0.0 , 10.6 , 30.9 , 72.4 , 10.9 , 95.4 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  1.6 ,  6.0 , 1.6  ,.     ,.     ,49.6  ,168   ,65.5  ,23.3  , 17.4 ,  6.3 ,  0.0 ,  3.0 ,  3.0 ,  1.5 , 29.5 , 11.0 ,  3.1 , 26.3 , 18.6 ,  9.4 ,10.8  ,  6.0 ,  3.0 ,119   ,75.8  , 97.5 ,2.69  ,3.28  ,2.71  ,2.77  ,3.37  ,2.81  , 3.8  , 0.3  ,  9.5 , 32.7 ,  1.5 , 17.2 ,  0.0 , 67.2 , 54.6 , 54.6 ,.     ,22.8  ,.     , 39.0 ,.     , 67.2 ,13.3  ,13.3  ,.     , 0.00 ,15.45 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 , 35.6 , 18.7 , 68.9 , 39   ,289   ,242.2 ,255.8 ,123.9 , 86.4 ,170.8 , 17.1 , 21.8 , 24.9 , 34.7 , 64.0 , 79.7 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,F,1, 61.3 ,  3.2 ,.     ,.     ,.     , 71.0 ,  3.2 ,  0.0 , 83.9 ,.     , 19.4 ,.     ,.     ,.     , 77.4 , 93.5 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  6.5 , 35.5 ,  6.5 , 16.1 , 58.1 , 54.8 ,  6.5 ,100.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 12.9 ,.     , 1.8  ,.     ,48.3  ,153   ,56.3  ,24.1  ,  6.5 ,  0.0 ,  0.0 ,  3.2 ,  9.7 ,  9.7 , 19.4 ,  3.2 ,  3.2 ,  3.2 ,  3.2 ,  3.2 , 4.0  ,  6.5 ,  0.0 ,118   ,74.2  , 95.9 ,2.02  ,2.46  ,2.35  ,2.00  ,2.41  ,2.37  , 2.8  , 0.0  ,  9.7 , 45.2 , 12.9 ,  6.5 ,  9.7 ,  3.2 ,  0.0 ,.     ,  0.0 ,.     ,50.0  ,.     ,  0.0 ,  3.2 , 0.2  ,.     , 0.2  , 0.00 , 0.19 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 , 32.3 ,  6.5 , 62.2 , 44   ,288   ,309.0 ,230.6 ,124.0 , 64.3 ,159.5 ,  6.5 , 29.0 , 35.5 , 32.3 , 45.2 , 54.8 ,15.1  ,28.5  , 5.4  ,52.0  ,22.7  ,5.1   ,2.3   ,3.9   ,
ZA,F,2, 58.8 ,  0.0 ,.     ,.     ,.     , 51.7 ,  6.9 ,  0.0 , 65.5 ,.     , 16.7 ,.     ,.     ,.     , 69.0 , 93.1 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  3.4 ,  3.4 ,  0.0 ,  3.4 ,  6.9 , 86.2 ,  6.9 ,100.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  6.9 ,.     , 1.5  ,.     ,49.9  ,157   ,56.8  ,23.0  ,  3.4 ,  0.0 ,  0.0 ,  0.0 ,  3.4 ,  0.0 , 31.0 , 10.3 ,  3.4 ,  3.4 ,  3.4 ,  0.0 ,  .   ,  0.0 ,  0.0 ,119   ,74.1  , 96.6 ,1.86  ,2.24  ,2.02  ,1.96  ,2.34  ,2.11  , 2.1  , 0.0  , 10.3 , 24.1 ,  0.0 ,  3.4 ,  3.4 ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,  .   ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 , 31.0 ,  3.4 , 70.0 , 34   ,339   ,334.4 ,307.7 ,104.3 , 76.5 ,166.2 , 24.1 , 17.2 , 27.6 , 34.5 , 48.3 , 72.4 ,15.4  ,28.1  , 4.6  ,50.0  ,22.0  ,3.8   ,2.3   ,3.2   ,
ZA,F,3, 60.0 ,  1.6 ,.     ,.     ,.     , 61.4 ,  5.1 ,  0.0 , 74.7 ,.     , 18.1 ,.     ,.     ,.     , 73.2 , 93.3 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  5.0 , 19.4 ,  3.3 ,  9.8 , 32.5 , 70.5 ,  6.7 ,100.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  9.9 ,.     , 1.7  ,.     ,49.1  ,155   ,56.5  ,23.6  ,  5.0 ,  0.0 ,  0.0 ,  1.6 ,  6.5 ,  4.8 , 25.2 ,  6.8 ,  3.3 ,  3.3 ,  3.3 ,  1.6 , 4.0  ,  3.3 ,  0.0 ,119   ,74.2  , 96.3 ,1.94  ,2.35  ,2.19  ,1.98  ,2.38  ,2.24  , 2.5  , 0.0  , 10.0 , 34.7 ,  6.5 ,  5.0 ,  6.5 ,  1.6 ,  0.0 ,.     ,  0.0 ,.     ,50.0  ,.     ,  0.0 ,  1.6 , 0.1  ,.     , 0.1  , 0.00 , 0.10 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 , 31.6 ,  5.0 , 66.1 , 39   ,314   ,321.7 ,269.1 ,114.2 , 70.4 ,162.8 , 15.3 , 23.1 , 31.6 , 33.4 , 46.8 , 63.6 ,15.3  ,28.3  , 5.0  ,51.0  ,22.4  ,4.5   ,2.3   ,3.6   ,
ZA,T,1,.     ,.     ,5.1   , 40.3 ,  1.7 ,.     ,.     ,.     ,.     ,  4.8 ,.     ,  3.2 , 40.3 , 24.2 ,.     ,.     , 85.5 ,100.0 ,100.0 , 88.9 ,100.0 , 95.2 , 98.4 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  3.1 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,T,2,.     ,.     ,4.9   , 10.0 ,  1.8 ,.     ,.     ,.     ,.     ,  3.3 ,.     ,  3.5 , 40.4 , 17.5 ,.     ,.     , 84.5 ,100.0 ,100.0 , 98.3 ,100.0 ,100.0 ,100.0 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  1.7 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZA,T,3, 62.0 ,  2.4 ,5.0   , 25.1 ,  1.8 , 50.7 ,  2.5 ,  0.0 , 85.8 ,  4.0 , 29.1 ,  3.4 , 40.4 , 20.9 , 81.1 , 95.0 , 85.0 ,100.0 ,100.0 , 93.6 ,100.0 , 97.6 , 99.2 ,  5.6 , 19.9 ,  1.6 , 10.2 , 31.7 , 71.5 ,  8.8 , 97.7 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.8 ,  8.0 ,.     ,.     ,  2.4 ,49.3  ,161   ,61.0  ,23.4  , 11.2 ,  3.1 ,  0.0 ,  2.3 ,  4.8 ,  3.2 , 27.4 ,  8.9 ,  3.2 , 14.8 , 10.9 ,  5.5 , 7.4  ,  4.7 ,  1.5 ,119   ,75.0  , 96.9 ,2.31  ,2.81  ,2.45  ,2.38  ,2.87  ,2.52  , 3.1  , 0.1  ,  9.8 , 33.7 ,  4.0 , 11.1 ,  3.3 , 34.4 , 27.3 ,.     ,.     ,.     ,.     ,.     ,.     , 34.4 , 6.7  ,.     ,.     , 0.00 , 7.77 ,.     ,.     ,  0.0 ,  0.0 ,  0.0 , 33.6 , 11.8 , 67.5 , 39   ,301   ,281.9 ,262.5 ,119.0 , 78.4 ,166.8 , 16.2 , 22.5 , 28.2 , 34.1 , 55.4 , 71.7 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZB,M,1, 63.6 ,  0.0 ,.     ,.     ,.     , 15.2 ,  6.1 ,  0.0 ,100.0 ,.     , 51.5 ,.     ,.     ,.     , 93.9 ,100.0 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,  0.0 , 12.1 ,  3.0 ,  6.1 , 21.2 , 93.9 , 30.3 ,100.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 15.2 , 1.2  ,.     ,.     ,49.6  ,166   ,64.8  ,23.6  , 12.1 , 18.2 ,  0.0 , 12.1 ,  6.1 ,  0.0 , 27.3 ,  0.0 ,  0.0 , 21.2 ,  9.1 ,  3.0 ,15.0  ,  3.0 ,  0.0 ,123   ,81.5  ,102.3 ,2.79  ,3.32  ,3.04  ,2.82  ,3.37  ,3.09  , 6.7  , 0.4  , 12.1 , 48.5 ,  3.0 ,  3.0 ,  3.0 , 57.6 , 51.5 , 51.5 ,.     ,21.9  ,.     , 39.4 ,.     , 57.6 ,10.2  ,10.2  ,.     , 0.00 ,11.72 , 0.00 ,.     ,  3.0 ,  0.0 ,  0.0 , 45.5 , 30.3 , 45.0 , 39   ,322   ,296.4 ,236.1 ,127.6 , 81.6 ,155.6 , 27.3 , 36.4 , 48.5 , 36.4 , 78.8 , 81.8 ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
